DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Levegő-páratartalom; Légnyomás; Széllökés; Belső akkufeszültség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Szélirány; Talajnedvesség 60 cm; Talajhőmérséklet 0 cm; Besugárzás; Fagy; Fényegység; Csapadék; Levélnedvesség; Szélsebesség; Külső akkufeszültség
2021-02-28 00:00:00; 10,02000;   4,85439;  68,67049;1024,19310;   8,18195;   4,22519;  25,49532;  29,37236; 278,04254;  25,46180;   4,81271; 156,82584;-9999,00000;2422,49780;   0,00000;   0,00000;   6,07076;-9999,00000
2021-02-27 00:00:00; 9,20650;   6,94508;  71,99939;1018,94336;  12,89538;   4,22150;  25,58538;  29,70870;   1,89380;  25,56085;   5,86558;  91,40505;-9999,00000;2397,98200;   0,00000;   0,00000;  10,08586;-9999,00000
2021-01-07 00:00:00; 7,49635;   2,62408;  91,65929;1006,49180;   8,89725;   4,22321;  26,39036;  27,88658; 226,99455;  24,45445;   3,19435;  60,65447;-9999,00000;2230,28560;   0,00000;   0,25453;   6,83285;  12,95550
2021-02-12 00:00:00; 9,40574;  -6,63914;  76,58221;1019,52960;   8,13348;   4,20087;  27,36001;  31,78570; 288,25885;  27,15135;  -0,24997; 111,82269;-9999,00000;2398,95750;   0,00017;   0,00000;   5,91612;  13,11113
2021-02-11 00:00:00; 7,08662;  -0,93662;  86,38308;1003,30050;  22,04648;   4,19893;  28,91754;  33,07187; 315,99994;  28,56975;   2,01918;  16,91031;-9999,00000;2260,68650;   0,00203;   0,00000;  17,01235;  12,63260
2021-03-09 00:00:00; 10,52249;   0,81087;  54,61347;1011,11000;  11,61449;   4,22622;  24,98823;  27,32478;   9,41805;  24,62154;   1,99428; 169,34813;-9999,00000;2595,61600;   0,00000;   0,00000;   8,90869;-9999,00000
2021-03-06 00:00:00; 10,25289;   1,69929;  55,54878;1021,27325;  14,03693;   4,22684;  25,20098;  27,98372; 337,06284;  24,90050;   2,55424; 138,93310;-9999,00000;2476,61180;   0,00000;   0,00000;  10,78059;-9999,00000
2021-03-04 00:00:00; 9,40525;   6,52612;  67,20746;1010,02150;  10,22799;   4,22559;  25,32180;  28,47199; 196,65244;  25,11084;   5,08144;  94,39341;-9999,00000;2406,15820;   0,00000;   0,00000;   7,88384;-9999,00000
2021-03-05 00:00:00; 9,14160;   5,56040;  74,36296;1006,97784;  15,96032;   4,22536;  25,27634;  28,36133; 224,19797;  25,02215;   4,91645;  74,81403;-9999,00000;2510,02780;   0,00051;   0,00000;  12,49206;-9999,00000
2021-03-03 00:00:00; 10,03734;   6,96121;  62,36242;1021,39703;   8,36554;   4,22511;  25,34973;  28,68923; 210,03477;  25,15360;   5,29795; 169,98598;-9999,00000;2473,74150;   0,00000;   0,00000;   6,31723;-9999,00000
