DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-01-09 16:00:00; 3,78021; 348,18634;  10,94720;   0,23738;  -0,24628;   0,07807;   0,00000;  17,33985;   0,00000;  88,89911;  11,78551
2021-01-09 15:00:00; 3,90215; 344,06000;  10,97216;   0,33864;   1,85705;   0,14491;   0,00000;  17,33942;   0,59762;  82,05190;  11,78139
2021-01-09 13:00:00; 3,89367; 340,70203;  11,01293;   1,35730;   4,73943;   0,84362;   0,00000;  17,35456;  46,14761;  71,30380;  11,77624
2021-01-09 14:00:00; 3,93739; 347,63876;  10,99335;   0,42902;   3,69688;   0,23966;   0,00000;  17,34540;  20,01504;  75,11021;  11,77525
2021-01-09 12:00:00; 3,80774; 327,92892;  11,02892;   1,65184;   5,38479;   1,16078;   0,00000;  17,35923; 140,08131;  66,03825;  11,78509
2021-01-09 11:00:00; 3,67688; 318,00665;  11,05209;   1,44414;   5,66524;   0,89547;   0,00000;  17,35272; 153,02892;  66,85770;  11,79232
2021-01-09 08:00:00; 3,36084; 319,82526;  11,06055;   0,91821;   1,27829;   0,61874;   0,00000;  17,36847;  76,10848;  94,84677;  11,80784
2021-01-09 09:00:00; 3,38890; 315,30225;  11,06786;   1,27836;   2,85194;   0,82954;   0,00000;  17,36104; 208,31091;  88,63119;  11,79485
2021-01-09 07:00:00; 3,37436; 319,49835;  11,05773;   0,69036;   0,34154;   0,46369;   0,00000;  17,37418;  22,15259;  97,57491;  11,82251
2021-01-09 06:00:00; 3,37973; 355,52466;  11,05975;   0,27821;   0,11831;   0,07948;   0,00000;  17,38199;   3,73871;  98,10822;  11,82410
2021-01-09 05:00:00; 3,41283; 323,94534;  11,06918;   0,86186;   0,35856;   0,65113;   0,00000;  17,38155;   0,00000;  97,37476;  11,82539
2021-01-09 10:00:00; 3,51780; 318,59076;  11,06712;   1,43434;   5,23671;   0,96848;   0,00000;  17,35465; 233,82823;  72,36532;  11,79242
2021-01-09 04:00:00; 3,43966; 323,24940;  11,07729;   0,84579;   0,53704;   0,52912;   0,00000;  17,38255;   0,00000;  97,03442;  11,83562
2021-01-09 02:00:00; 3,45298; 319,88837;  11,07924;   0,70233;   0,22855;   0,38946;   0,00000;  17,40102;   0,00000;  98,47468;  11,85471
2021-01-09 03:00:00; 3,45102; 317,34740;  11,07758;   0,61985;   0,32335;   0,38305;   0,00000;  17,39306;   0,00000;  98,69055;  11,85100
2021-01-09 00:00:00; 3,51931; 324,54025;  11,09268;   1,18879;  -0,10596;   0,88857;   0,00000;  17,41720;   0,00000;  98,00535;  11,85776
2021-01-09 01:00:00; 3,45315; 309,26360;  11,08563;   0,64626;   0,07669;   0,34970;   0,00000;  17,41112;   0,00000;  98,31323;  11,85330
2021-01-08 23:00:00; 3,61114; 317,82297;  11,09787;   1,07283;   0,05664;   0,81367;   0,00000;  17,41730;   0,00000;  98,28762;  11,86862
2021-01-09 22:00:00; 3,09286; 337,40220;  10,90904;   0,30326;  -1,79356;   0,14704;   0,00000;  17,30890;   0,00000;  96,18735;  11,75971
2021-01-07 19:00:00; 4,47862;  17,99057;  11,31876;   0,40588;  -0,25336;   0,18412;   0,00000;  17,53870;   0,00000;  98,48434;  12,01603
2021-01-07 20:00:00; 4,35923;  30,09733;  11,31782;   0,39118;   0,32041;   0,16481;   0,00000;  17,54226;   0,00000;  98,46169;  12,01632
2021-01-07 21:00:00; 4,28187;  15,72916;  11,31402;   0,50089;   0,35912;   0,22723;   0,00000;  17,54329;   0,00000;  98,75568;  12,00964
2021-01-07 22:00:00; 4,21577;  23,47171;  11,31088;   0,53655;   0,22695;   0,30098;   0,00000;  17,53172;   0,00000;  98,77416;  11,99480
2021-01-07 17:00:00; 4,78489; 357,36026;  11,33608;   0,34082;   0,62009;   0,12288;   0,00000;  17,54838;   0,00000;  95,82613;  12,03074
