DATE; Talajnedvesség 30 cm; Fényegység; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Besugárzás; Légnyomás; Talajhőmérséklet 0 cm; Külső akkufeszültség; Levélnedvesség; Talajnedvesség 60 cm; Csapadék; Szélirány; Csapadék Számláló; Talajnedvesség 120 cm; Szélsebesség; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Széllökés
2021-02-06 00:00:00; -9999,00000;1480,07980;   4,22541;  96,24130;   6,50629;  17,75618;1003,14060;-9999,00000;  12,79780;   2,54386;-9999,00000;   0,00000; 359,08270;-9999,00000;-9999,00000;   4,14029;-9999,00000;   6,95687;-9999,00000;   6,55755
2021-02-08 00:00:00; 26,42100;1523,25610;   4,23595;  88,65227;   6,34301;  19,71631; 986,85150;   0,00000;  12,79891;   3,20702;  23,80300;   0,04727; 189,38156;-9999,00000;-9999,00000;  15,05735;-9999,00000;   6,96518;  25,82600;  21,72760
2021-02-07 00:00:00; -9999,00000;1637,57640;   4,23622;  86,30292;   7,34564;  39,85915; 994,82806;-9999,00000;  12,92238;   1,90559;-9999,00000;   0,00000; 135,97754;-9999,00000;-9999,00000;  13,49821;-9999,00000;   7,50202;-9999,00000;  19,94624
2021-02-05 00:00:00; -9999,00000;1704,66660;   4,23806;  92,71839;   5,79161;  22,65018;1007,10706;-9999,00000;  12,92412;   0,82456;-9999,00000;   0,00000; 147,45247;-9999,00000;-9999,00000;   5,34767;-9999,00000;   7,20123;-9999,00000;   8,03584
2021-01-12 00:00:00; 25,79941;1509,28470;   4,23983;  96,42094;  -0,20246;  18,07829;1006,70074;   1,53049;  12,70532;   1,69014;  23,58650;   0,00419; 297,68503;-9999,00000;-9999,00000;   3,56318;-9999,00000;   6,41177;  25,69051;   5,53430
2021-04-23 00:00:00; 24,15795;2355,23200;   4,25282;  64,89990;  10,05819; 254,43661;1011,39340;-9999,00000;  13,20950;   0,03497;  23,32703;   0,00000; 306,73090;-9999,00000;-9999,00000;  10,91071;-9999,00000;  12,05430;  25,70702;  15,92143
2021-04-22 00:00:00; 24,06657;2365,95460;   4,25141;  67,16819;  13,33450; 235,92982;1006,92970;-9999,00000;  13,13999;   0,41958;  23,20507;   0,00666; 226,76505;-9999,00000;-9999,00000;  15,50000;-9999,00000;  11,75695;  25,72547;  22,02857
2021-04-17 00:00:00; 23,55617;2247,08700;   4,25243;  66,37698;   7,82474; 203,75000;1007,98456;-9999,00000;  13,21707;   0,00000;  23,06007;   0,00084; 152,33014;-9999,00000;-9999,00000;   4,84173;-9999,00000;  11,56908;  25,70619;   8,49281
2021-04-18 00:00:00; 23,76899;2283,22560;   4,24372;  87,67142;   7,48776;  52,38516;1006,08673;-9999,00000;  13,14247;   1,65493;  23,04401;   0,02247; 111,80891;-9999,00000;-9999,00000;   6,66308;-9999,00000;  10,52423;  25,74446;  10,11828
2021-04-19 00:00:00; 23,76496;2312,11820;   4,24873;  88,83040;   8,01958;  83,53357;1005,02160;-9999,00000;  13,12588;   0,00000;  23,12504;   0,00084; 100,72745;-9999,00000;-9999,00000;   5,68817;-9999,00000;  10,71594;  25,69363;   8,81362
2021-04-20 00:00:00; 23,82115;2436,05570;   4,25188;  83,79763;   9,23450; 161,79578;1003,18240;-9999,00000;  13,19494;   1,33333;  23,17982;   0,00084; 297,50293;-9999,00000;-9999,00000;   5,12230;-9999,00000;  11,70473;  25,70702;   8,28777
2021-04-21 00:00:00; 23,95439;2325,65750;   4,25155;  75,21960;  11,46425; 203,42105;1005,70844;-9999,00000;  13,09789;   0,00000;  23,20759;   0,00000; 210,48541;-9999,00000;-9999,00000;   8,01429;-9999,00000;  10,94632;  25,70661;  12,20000
2021-03-21 00:00:00; 25,68086;2174,79520;   4,25260;  63,00661;   1,24000; 150,01773;1006,24450;-9999,00000;-9999,00000;   0,00000;  23,71402;   0,00000; 321,34164; 146,13245;-9999,00000;   6,35612;-9999,00000;  10,78985;  25,70702;   9,76978
2021-03-22 00:00:00; 25,47322;2144,96200;   4,24911;  71,11410;   1,14632;  67,87234;1001,01917;-9999,00000;-9999,00000;   0,05300;  23,60889;   0,00000; 345,77990; 146,13245;-9999,00000;  13,44404;-9999,00000;  10,01004;  25,70702;  18,26354
2021-03-23 00:00:00; 25,26927;2095,49320;   4,25182;  59,24705;   4,35734; 172,10248;1007,66785;-9999,00000;-9999,00000;   0,00000;  23,56495;   0,00000; 331,82056; 146,13245;-9999,00000;  14,06835;-9999,00000;  10,85677;  25,70702;  19,53597
2021-03-24 00:00:00; 25,19982;2108,81250;   4,25184;  54,12847;   5,21748; 197,43816;1009,37530;-9999,00000;-9999,00000;   0,68662;  23,52419;   0,00000;   4,31902; 146,13245;-9999,00000;  16,17985;-9999,00000;  10,95906;  25,70492;  22,53957
2021-03-25 00:00:00; 25,08418;2157,12160;   4,25166;  60,19054;   3,65560; 206,87943;1011,43530;-9999,00000;-9999,00000;   0,00000;  23,48214;   0,00000; 341,59036; 146,13245;-9999,00000;   6,75451;-9999,00000;  11,05606;  25,70576;  10,76534
2021-03-26 00:00:00; 25,03462;2163,59720;   4,25169;  57,80601;   7,14301; 202,94014;1013,55280;-9999,00000;-9999,00000;   0,00000;  23,44384;   0,00000; 214,03671; 146,13245;-9999,00000;   4,08602;-9999,00000;  10,96154;  25,70408;   7,48029
2021-04-27 00:00:00; 24,22390;2398,95830;   4,25181;  60,39845;  10,94651; 150,53003;1002,48047;-9999,00000;  13,17913;   0,70175;  23,35982;   0,10856; 198,34795;-9999,00000;-9999,00000;   3,06115;-9999,00000;  11,72233;  25,84877;   6,17986
2021-04-25 00:00:00; 24,00104;2360,68750;   4,24648;  56,27153;  11,34774; 251,77817;1007,55490;-9999,00000;  13,17560;   0,00000;  23,31526;   0,00000; 195,61870;-9999,00000;-9999,00000;   7,06093;-9999,00000;  11,91601;  25,76844;  11,85305
2021-04-26 00:00:00; 24,02138;2267,47920;   4,25184;  56,68603;   9,19583; 225,00000;1007,59920;-9999,00000;  13,20621;   0,10490;  23,32703;   0,00000; 353,51337;-9999,00000;-9999,00000;   7,87500;-9999,00000;  11,93885;  25,82355;  12,87143
2021-04-28 00:00:00; 30,44412;2236,55030;   4,24938;  79,25565;  11,33958;  63,82867;1001,25415;-9999,00000;  13,09034;   0,74818;  26,66068;   0,28444; 102,03889;-9999,00000;-9999,00000;   5,81495;-9999,00000;  10,65897;  29,18422;   9,57651
2021-04-29 00:00:00; 27,50582;2428,33450;   4,25202;  74,59325;  14,75156; 233,63158;1000,73970;-9999,00000;  13,16995;   0,01894;  24,60958;   0,00083; 173,18039;-9999,00000;-9999,00000;  12,88889;-9999,00000;  11,85753;  26,73314;  19,88172
2021-03-20 00:00:00; 25,89396;2044,36110;   4,25296;  70,03566;   1,94000; 177,19858;1010,16547;-9999,00000;-9999,00000;   1,46127;  23,79295;   0,00000;  33,75178; 146,13245;-9999,00000;   5,64260;-9999,00000;  10,84109;  25,70576;   9,26354
2021-04-11 00:00:00; 23,90476;2268,04860;   4,25132;  52,69306;  11,76516; 191,93661;1010,09850;-9999,00000;  13,14419;   0,00000;  23,20801;   0,00000; 155,36156; 148,75000;-9999,00000;  11,79570;-9999,00000;  11,16258;  25,70702;  16,60932
2021-04-12 00:00:00; 23,97121;2217,24320;   4,24268;  50,81882;  14,58537; 211,28070;1007,05530;-9999,00000;  13,13875;   0,00000;  23,20801;   0,00000; 143,00021; 148,75000;-9999,00000;   9,36071;-9999,00000;  11,21998;  25,70702;  13,90000
2021-04-13 00:00:00; 24,07036;2203,93400;   4,24523;  86,48530;   7,24355;  43,44523;1005,97955;-9999,00000;  13,09621;   2,24561;  23,25620;   0,01498; 284,76944; 149,93170;-9999,00000;  12,48561;-9999,00000;  10,11922;  25,77951;  17,23022
2021-04-14 00:00:00; 23,95661;2141,16300;   4,24709;  90,62292;   4,32588;  55,14134;1007,41125;-9999,00000;  13,12971;   4,06690;  23,20298;   0,01508; 279,58080; 154,94560;-9999,00000;  10,13978;-9999,00000;  10,34397;  25,78722;  14,08602
2021-04-15 00:00:00; 23,74838;2150,38550;   4,24908;  87,16155;   4,35000;  67,81690;1010,10810;-9999,00000;  13,14601;   3,35088;  23,15249;   0,00418; 236,70297; 157,57056;-9999,00000;   5,96390;-9999,00000;  10,74133;  25,73311;   9,05415
2021-04-24 00:00:00; 24,07496;2388,21200;   4,25329;  58,81704;   9,17291; 272,78946;1012,60580;-9999,00000;  13,21773;   0,00000;  23,32703;   0,00000; 324,12500;-9999,00000;-9999,00000;   7,31183;-9999,00000;  12,15776;  25,72044;  11,89247
2021-04-04 00:00:00; 24,58013;1998,44450;   4,24779;  83,53311;   4,37123;  44,13428;1007,09250;-9999,00000;  13,12528;   2,02465;  23,48675;   0,00501; 335,27847; 147,30626;-9999,00000;  11,98561;-9999,00000;  10,06020;  25,85212;  16,43885
2021-04-05 00:00:00; 24,29668;2225,47220;   4,24916;  62,29340;   5,52035; 235,49646;1002,07820;-9999,00000;  13,20457;   0,30035;  23,38817;   0,00000; 217,08775; 147,79805;-9999,00000;  11,85921;-9999,00000;  11,50109;  25,82606;  17,41877
2021-04-07 00:00:00; 24,04016;2307,34380;   4,25216;  62,46218;   3,25053; 218,98936;1000,42720;-9999,00000;  13,24799;   0,00000;  23,27826;   0,00000; 295,66350; 148,75000;-9999,00000;  11,07914;-9999,00000;  11,59825;  25,74449;  16,02158
2021-04-06 00:00:00; 24,27858;2088,41300;   4,24527;  79,34242;   3,62203;  58,99293; 995,35220;-9999,00000;  13,15900;   1,19298;  23,29928;   0,00334; 307,81400; 148,28731;-9999,00000;  13,98921;-9999,00000;  10,41214;  25,86013;  19,44245
2021-04-08 00:00:00; 23,93084;2213,92360;   4,25356;  67,86365;   2,55490; 170,44327;1012,31970;-9999,00000;  13,27504;   0,15845;  23,22193;   0,00000; 281,61728; 148,75000;-9999,00000;  13,58484;-9999,00000;  11,62612;  25,70702;  18,89170
