DATE; Besugárzás; Levegő-hőmérséklet; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Csapadék; Szélirány; Széllökés; Talajhőmérséklet 0 cm; Szélsebesség; Levélnedvesség
2021-03-26 15:10:00; 199,24442;  16,33129;  39,77470;  49,60022;  31,24060;  27,10619;   0,00000; 192,08081;   1,91917;   7,23813;   0,90993;-9999,00000
2021-03-26 15:00:00; 255,22714;  16,66430;  39,67991;  49,59281;  31,25815;  27,10619;   0,00000; 161,18219;   1,06330;   7,21536;   0,49876;-9999,00000
2021-03-26 12:50:00; 568,43744;  15,39208;  42,56078;  49,62340;  31,22000;  27,11841;   0,00000; 223,41043;   1,84893;   6,58348;   0,93318;-9999,00000
2021-03-26 11:30:00; 657,57740;  14,65879;  43,74549;  49,63470;  31,18027;  27,14880;   0,00000; 227,83107;   2,27360;   5,90654;   1,17665;-9999,00000
2021-03-26 12:00:00; 625,03503;  15,68857;  43,26600;  49,62390;  31,18584;  27,14246;   0,00000; 135,53357;   0,71213;   6,17201;   0,37621;-9999,00000
2021-03-26 11:50:00; 617,49146;  15,61295;  42,43540;  49,62475;  31,17537;  27,14666;   0,00000; 248,89615;   1,05677;   6,08765;   0,72014;-9999,00000
2021-03-26 12:20:00; 593,38360;  15,52338;  42,35720;  49,62340;  31,21924;  27,14059;   0,00000; 224,26222;   2,92857;   6,34667;   1,56098;-9999,00000
2021-03-26 12:10:00; 619,86084;  16,22243;  42,07646;  49,62340;  31,19954;  27,13169;   0,00000; 206,37083;   1,83260;   6,25866;   0,98594;-9999,00000
2021-03-25 23:00:00; 0,00000;  -0,07352;  89,22050;  49,76107;  31,00440;  27,14880;   0,00000;   7,61638;   0,24500;   4,77879;   0,04965;-9999,00000
2021-03-25 23:20:00; 0,00000;  -0,37346;  89,54267;  49,76223;  30,99707;  27,14880;   0,00000;   0,00000;   0,00000;   4,71726;   0,00000;-9999,00000
2021-03-25 23:10:00; 0,00000;  -0,29346;  89,32800;  49,76288;  30,99767;  27,14880;   0,00000;  16,80823;   0,27440;   4,74629;   0,05276;-9999,00000
2021-03-25 23:40:00; 0,00000;  -0,61360;  88,94566;  49,76272;  31,00496;  27,15115;   0,00000; 186,88289;   0,47040;   4,65462;   0,18439;-9999,00000
2021-03-25 23:30:00; 0,00000;  -0,65781;  89,21573;  49,76340;  31,00120;  27,14975;   0,00000;  37,41341;   0,45407;   4,68429;   0,15457;-9999,00000
2021-03-26 00:00:00; 0,00000;  -0,71983;  88,79833;  49,76322;  30,99375;  27,15273;   0,00000;   7,64360;   0,33320;   4,59071;   0,03993;-9999,00000
2021-03-25 23:50:00; 0,00000;  -0,43920;  89,50118;  49,76301;  31,00325;  27,15008;   0,00000;  21,04565;   0,40180;   4,62218;   0,16719;-9999,00000
2021-03-26 00:10:00; 0,00000;  -0,52819;  90,42973;  49,76714;  30,98424;  27,15524;   0,00000; 171,83237;   0,56513;   4,56150;   0,48035;-9999,00000
2021-03-26 00:20:00; 0,00000;  -0,46211;  90,07601;  49,76021;  30,97842;  27,15589;   0,00000;  42,92886;   0,48837;   4,52996;   0,18801;-9999,00000
