DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-01-17 00:00:00; 1010,41895;-9999,00000;   6,42889;  34,59597;  -3,92107;   7,39426;  30,35184;  32,60896;1516,73960;-9999,00000;   0,00000;  12,94952;  29,78873;   5,05263;   4,24511;   4,01434;  88,39435;  -0,06690;  29,95251
2021-01-16 00:00:00; 1011,80676;-9999,00000;   7,95877;  34,37781;  -3,73513;   2,71326;  30,37855;  32,48162;1572,20480;-9999,00000;   0,00000;  13,20298;  56,91228;   5,07042;   4,24663;   0,75627;  83,50346;   0,14821;  11,09174
2021-01-15 00:00:00; 1008,91560;-9999,00000;   7,17340;  34,27500;  -1,85089;  10,10394;  30,46315;  32,45284;1520,97570;-9999,00000;   0,00000;  13,09531;  39,40141;   5,05263;   4,24528;   5,56989;  86,81870;   0,56726;  13,87429
2021-01-13 00:00:00; 1003,74040;-9999,00000;   7,95604;  34,39396;   0,99324;  10,93214;  30,53130;  32,49561;1587,18410;-9999,00000;   0,00000;  13,12642;  60,22727;   5,05263;   4,24505;   4,96429;  81,97066;   1,27900; 342,58923
2021-01-12 00:00:00; 1008,30005;-9999,00000;   6,61878;  34,41259;  -0,68968;   0,41071;  30,22345;  32,50449;1510,08680;-9999,00000;   0,00382;  12,91356;  34,49123;   5,05263;   4,23853;   0,01429;  96,87923;   1,46405; 342,22134
2021-01-24 00:00:00; 990,32120;-9999,00000;   7,48867;  34,82944;   5,64362;   8,14947;  31,14000;  32,62090;1765,04520;-9999,00000;   0,03718;  12,97221;  51,60839;   5,01742;   4,24103;   3,40569;  88,33781;   4,46241; 350,74976
2021-01-23 00:00:00; 992,72040;-9999,00000;   6,14895;  34,63192;   9,66901;  17,97518;  30,44306;  32,47708;1463,21180;-9999,00000;   0,00151;  12,83439;  22,27430;   5,01742;   4,23875;   3,23050;  74,93110;   4,49435; 272,54767
2021-03-06 00:00:00; 1022,23834;-9999,00000;  10,05289;  34,27542;   2,60745;   5,02857;  30,65099;  32,72544;1863,63200;-9999,00000;   0,00000;-9999,00000; 108,43860;   5,03496;   4,24574;   1,06429;  54,27457;   4,15603;  61,72974
2021-01-21 00:00:00; 1007,22310;-9999,00000;   8,01348;  34,68240;   5,75461;  14,94662;  30,06211;  32,35844;1706,57980;-9999,00000;   0,00000;  13,12553;  60,41812;   5,01742;   4,22907;   5,64057;  80,78672;   1,57244; 284,34525
2021-01-20 00:00:00; 1009,78670;-9999,00000;   7,49802;  34,74338;   4,09184;   8,81139;  29,82904;  32,44025;1731,39930;-9999,00000;   0,00000;  13,02456;  55,20979;   5,03496;   4,24354;   3,84342;  82,66359;   0,26418; 299,11728
