DATE; Talajhőmérséklet 0 cm; Szélirány; Szélsebesség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Levegő-páratartalom; Besugárzás; Talajnedvesség 90 cm; Csapadék; Levegő-hőmérséklet
2021-04-30 15:40:00; 16,75497; 119,23752;   0,70789;  10,04230;   8,59018;   1,28217;  50,99820; 224,61569;  14,74298;   0,00000;  25,10043
2021-04-30 14:00:00; 16,25810; 209,36504;   1,93468;  10,04230;   8,64558;   3,34343;  48,36600; 480,92570;  14,74384;   0,00000;  24,91586
2021-04-30 18:30:00; 16,60802;  64,91844;   0,79689;  10,04881;   8,54820;   0,91957;  72,74989;   0,00000;  14,74623;   0,00000;  19,05391
2021-04-30 16:20:00; 16,85518; 132,05128;   0,56954;  10,04230;   8,54994;   1,05187;  52,86310;  72,61777;  14,74498;   0,00000;  23,96506
2021-04-30 15:30:00; 16,72092; 185,81636;   0,97820;  10,04230;   8,58431;   1,71337;  51,45840; 246,73530;  14,74356;   0,00000;  24,69513
2021-04-30 14:40:00; 16,54948; 200,70400;   1,58125;  10,04230;   8,60814;   2,15110;  51,82634; 178,76404;  14,74495;   0,00000;  23,78031
2021-04-30 12:00:00; 15,40913; 242,26056;   1,27547;  10,05681;   8,76062;   1,83750;  54,71140; 354,76004;  14,75155;   0,00000;  23,31883
2021-04-30 10:40:00; 14,70815; 211,32164;   1,34913;  10,06727;   8,83992;   2,46470;  59,84320; 283,23935;  14,75268;   0,00000;  22,74766
2021-04-30 12:50:00; 15,72500; 217,95996;   1,78572;  10,06114;   8,72681;   2,18703;  55,12790; 449,34637;  14,74952;   0,00000;  23,41424
2021-04-30 11:50:00; 15,33252; 206,07129;   1,64068;  10,05426;   8,77632;   2,46960;  55,00210; 390,98834;  14,74897;   0,00000;  23,33996
2021-04-30 13:10:00; 15,84951; 211,19075;   2,09312;  10,05631;   8,69963;   3,25360;  51,78780; 612,00226;  14,74642;   0,00000;  24,28187
2021-04-30 09:50:00; 14,40731; 298,33002;   1,53876;  10,07315;   8,88568;   2,23113;  63,26800; 527,98615;  14,75670;   0,00000;  21,97829
2021-04-30 06:20:00; 13,45349; 150,39816;   0,65742;  10,09627;   9,02648;   0,93100;  85,13051; 146,80008;  14,75096;   0,00000;  16,77655
2021-04-30 09:00:00; 14,18114; 308,55970;   1,33182;  10,07290;   8,92482;   2,07923;  63,79810; 157,35825;  14,75984;   0,00000;  21,46055
2021-04-30 09:40:00; 14,36550; 307,50623;   1,50430;  10,07315;   8,88148;   2,08087;  63,08400; 409,55432;  14,75610;   0,00000;  21,86507
2021-04-30 08:10:00; 13,94095; 208,87692;   2,23816;  10,07315;   8,96010;   2,97103;  66,54570; 106,41774;  14,75354;   0,00000;  20,96430
2021-04-30 10:10:00; 14,51177; 239,88614;   1,28108;  10,07290;   8,86948;   2,42223;  63,35878; 278,94208;  14,75450;   0,00000;  21,73678
2021-04-30 08:20:00; 13,99078; 207,22206;   1,98564;  10,07315;   8,94848;   2,64437;  66,01610; 176,05138;  14,75297;   0,00000;  20,97638
2021-04-30 09:30:00; 14,31854; 290,46410;   1,07245;  10,07315;   8,89011;   1,79013;  66,07690; 391,98140;  14,75412;   0,00000;  20,87451
2021-04-30 08:00:00; 13,88863; 211,06223;   2,04493;  10,07415;   8,96452;   3,03800;  68,41840;  63,71063;  14,75326;   0,00000;  20,42126
2021-04-30 07:50:00; 13,84048; 196,34018;   2,08969;  10,07365;   8,98576;   3,26830;  68,70800;  58,26373;  14,75326;   0,00000;  20,33193
2021-04-30 07:30:00; 13,74565; 203,11713;   1,61569;  10,07896;   8,99191;   2,07270;  71,24961; 150,76315;  14,75268;   0,00000;  19,60810
2021-04-30 06:10:00; 13,43288; 158,22517;   0,67130;  10,09321;   9,03087;   1,04207;  87,01478; 133,56636;  14,75165;   0,00000;  16,43469
2021-04-30 07:10:00; 13,65083; 212,40090;   1,53321;  10,08021;   9,00279;   2,06453;  70,16420; 214,19376;  14,75355;   0,00000;  19,51440
2021-04-30 08:30:00; 14,03931; 216,05708;   2,28912;  10,07315;   8,93273;   3,48227;  64,98350; 192,61615;  14,75582;   0,00000;  21,01808
2021-04-30 06:00:00; 13,41109; 133,66208;   0,53885;  10,09392;   9,03349;   0,94080;  89,83791; 123,47481;  14,74964;   0,00000;  15,77600
2021-04-30 06:50:00; 13,56115; 211,26376;   1,48054;  10,08928;   9,02381;   2,15763;  73,42891; 293,73032;  14,75198;   0,00000;  19,30915
2021-04-30 07:40:00; 13,79298; 199,86647;   1,82019;  10,07592;   8,98673;   2,23930;  70,40950;  66,93117;  14,75668;   0,00000;  20,06382
2021-04-30 10:00:00; 14,46309; 293,56805;   1,77647;  10,07290;   8,87342;   2,46960;  63,05136; 322,21920;  14,75353;   0,00000;  21,91237
2021-04-30 06:30:00; 13,48441; 160,24373;   0,78792;  10,09171;   9,02600;   1,82443;  82,48511; 220,00415;  14,74926;   0,00000;  17,44163
2021-04-30 09:20:00; 14,27466; 314,14188;   1,46690;  10,07365;   8,90090;   2,21807;  65,61931; 138,70717;  14,75669;   0,00000;  20,74118
2021-04-30 06:40:00; 13,51843; 186,05888;   1,37510;  10,08737;   9,03712;   1,94040;  78,86581; 420,68530;  14,75154;   0,00000;  18,15404
2021-04-30 07:00:00; 13,60584; 213,83008;   1,58197;  10,08472;   9,01903;   2,19357;  70,85455; 197,29286;  14,75162;   0,00000;  19,42583
2021-04-30 07:20:00; 13,70032; 193,50082;   1,79993;  10,07997;   8,99242;   2,23440;  69,86560; 197,88100;  14,75582;   0,00000;  19,67246
2021-04-30 08:50:00; 14,13433; 237,40411;   1,77658;  10,07290;   8,92112;   2,59210;  63,66600; 205,48430;  14,75467;   0,00000;  21,54291
2021-04-30 08:40:00; 14,08676; 206,98195;   1,92309;  10,07365;   8,93372;   2,77013;  63,46850; 204,16809;  14,75582;   0,00000;  21,41392
2021-04-30 09:10:00; 14,23058; 300,53348;   1,05971;  10,07340;   8,90339;   2,04003;  64,83929; 136,43877;  14,75353;   0,00000;  21,21576
2021-04-30 03:00:00; 13,44559; 117,52648;   0,61577;  10,09245;   9,05715;   0,78890;  95,28290;   0,00000;  14,74896;   0,00000;  13,71221
2021-04-30 03:10:00; 13,44051; 132,84738;   0,42352;  10,09577;   9,05592;   0,76603;  95,49890;   0,00000;  14,74982;   0,00000;  13,63684
2021-04-30 03:30:00; 13,42327; 124,82571;   0,74202;  10,09654;   9,05395;   1,03553;  95,01481;   0,00000;  14,75211;   0,00000;  13,67483
2021-04-30 03:20:00; 13,42671; 132,82101;   0,55746;  10,09501;   9,05319;   0,93263;  95,30670;   0,00000;  14,75153;   0,00000;  13,67763
2021-04-30 03:40:00; 13,41198; 138,83348;   0,78237;  10,09782;   9,04975;   1,13843;  94,86530;   0,02800;  14,75324;   0,00000;  13,76641
2021-04-30 03:50:00; 13,40363; 135,13490;   0,59372;  10,09527;   9,05146;   0,71703;  94,81070;   3,47259;  14,75240;   0,00000;  13,76804
2021-04-30 04:00:00; 13,40279; 148,31625;   0,79494;  10,09757;   9,05048;   1,06003;  94,91800;   8,49940;  14,75124;   0,00000;  13,84261
2021-04-30 04:10:00; 13,39625; 153,30835;   0,97755;  10,09757;   9,04924;   1,13190;  93,70720;  11,73392;  14,75041;   0,00000;  14,09103
2021-04-30 04:30:00; 13,38102; 146,63362;   0,76538;  10,09756;   9,04625;   0,93753;  92,58669;  27,50051;  14,74954;   0,00000;  14,36310
2021-04-30 04:20:00; 13,38284; 151,51566;   0,75476;  10,09578;   9,04750;   0,97510;  92,97920;  17,76891;  14,75526;   0,00000;  14,24885
2021-04-30 04:40:00; 13,38108; 138,04000;   0,62442;  10,09553;   9,04477;   0,88363;  91,98680;  26,54835;  14,75040;   0,00000;  14,53175
2021-04-30 04:50:00; 13,37970; 139,17790;   0,51499;  10,09783;   9,04306;   0,72357;  91,69910;  24,18197;  14,75184;   0,00000;  14,64826
2021-04-30 05:00:00; 13,38024; 167,35962;   0,39739;  10,09577;   9,04478;   0,66967;  91,72869;  16,06064;  14,75268;   0,00000;  14,68883
2021-04-30 01:50:00; 13,49898; 136,96086;   0,62900;  10,08812;   9,05764;   0,78727;  99,44420;   0,00000;  14,75640;   0,00000;  13,12449
2021-04-30 01:40:00; 13,51490; 113,85101;   0,76587;  10,08787;   9,05815;   1,47653;  99,71809;   0,00000;  14,75525;   0,00000;  12,93772
2021-04-30 02:00:00; 13,49327; 118,24363;   0,68992;  10,08813;   9,05939;   0,98653;  98,81210;   0,00000;  14,75412;   0,00000;  13,30585
2021-04-30 02:10:00; 13,49289; 138,81682;   0,77453;  10,08941;   9,06186;   1,16293;  98,30200;   0,00000;  14,75240;   0,00000;  13,41843
2021-04-30 02:30:00; 13,46860; 121,60374;   0,74725;  10,09042;   9,06037;   0,97183;  95,75099;   0,00000;  14,75496;   0,00000;  13,76789
2021-04-30 02:20:00; 13,47316; 150,87738;   0,71246;  10,08736;   9,06037;   1,01267;  97,22980;   0,00000;  14,75382;   0,00000;  13,65520
2021-04-30 02:40:00; 13,45934; 146,22650;   0,76113;  10,09093;   9,06062;   1,04533;  95,99850;   0,00000;  14,75670;   0,00000;  13,68448
2021-04-30 02:50:00; 13,44618; 126,37886;   0,67326;  10,09043;   9,05891;   0,97347;  95,18330;   0,00000;  14,75297;   0,00000;  13,80104
2021-04-30 00:20:00; 13,60749; 122,98305;   0,57929;  10,07933;   9,06027;   1,08290;  99,99799;   0,00000;  14,75578;   0,00000;  12,55509
2021-04-30 00:30:00; 13,59395; 101,11678;   0,36995;  10,08227;   9,05739;   0,77583;  99,99799;   0,00000;  14,75753;   0,00000;  12,58159
2021-04-30 00:40:00; 13,58235;  46,11826;   0,49278;  10,08378;   9,05690;   0,65660;  99,99799;   0,00000;  14,75526;   0,00000;  12,49701
2021-04-30 01:00:00; 13,56187;  58,21878;   0,68986;  10,08558;   9,05396;   0,91957;  99,99799;   0,00000;  14,75457;   0,00000;  12,30101
2021-04-30 00:50:00; 13,57973;  48,29237;   0,37109;  10,08379;   9,05394;   0,94080;  99,99799;   0,00000;  14,75296;   0,00000;  12,49572
2021-04-30 01:10:00; 13,54493;  63,24482;   0,90596;  10,08785;   9,05392;   1,11557;  99,99799;   0,00000;  14,75418;   0,00000;  12,38487
2021-04-30 01:20:00; 13,53560;  69,17471;   0,42418;  10,08659;   9,05639;   0,84933;  99,99799;   0,00000;  14,75525;   0,00000;  12,67586
2021-04-30 01:30:00; 13,52562;  92,34920;   1,04517;  10,08686;   9,05542;   1,79993;  99,99390;   0,00000;  14,75441;   0,00000;  12,81981
2021-04-30 05:10:00; 13,38016; 174,18135;   0,40245;  10,09552;   9,04428;   0,71213;  91,97859;  16,80276;  14,75326;   0,00000;  14,72570
2021-04-30 05:20:00; 13,38072; 121,85306;   0,39902;  10,09909;   9,04328;   0,80850;  92,04890;  21,64755;  14,75269;   0,00000;  14,79017
2021-04-30 05:30:00; 13,38187; 133,78691;   0,48053;  10,09807;   9,04453;   0,81503;  92,31329;  39,06641;  14,75325;   0,00000;  14,82141
2021-04-30 05:50:00; 13,40001; 135,97197;   0,56922;  10,09987;   9,03860;   0,89833;  91,54370;  94,78155;  14,74925;   0,00000;  15,26144
2021-04-30 05:40:00; 13,39404; 159,67350;   0,51319;  10,09908;   9,04255;   0,84117;  92,12711;  66,65093;  14,75496;   0,00000;  14,97401
2021-04-29 22:00:00; 14,04223;  63,85902;   0,62573;  10,07315;   9,06432;   1,03063;  99,44060;   0,00000;  14,75841;   0,00000;  11,29312
2021-04-29 22:30:00; 13,92301;  34,18666;   0,58996;  10,07466;   9,07446;   0,94080;  99,95500;   0,00000;  14,75668;   0,00000;  11,05961
2021-04-29 22:20:00; 13,96326;  29,78532;   0,52871;  10,07315;   9,07175;   0,82810;  99,99799;   0,00000;  14,75841;   0,00000;  11,60925
2021-04-29 22:50:00; 13,84348;  87,08526;   0,48069;  10,07668;   9,07101;   0,68927;  99,99799;   0,00000;  14,75611;   0,00000;  11,23646
2021-04-29 22:40:00; 13,88408;  56,50952;   0,75035;  10,07391;   9,07028;   0,96367;  99,98878;   0,00000;  14,75898;   0,00000;  10,78199
2021-04-29 22:10:00; 14,00224;  68,61279;   1,35518;  10,07290;   9,06755;   1,67743;  99,78071;   0,00000;  14,75641;   0,00000;  11,17732
2021-04-29 23:10:00; 13,77965;  22,36904;   0,47024;  10,07517;   9,06879;   0,76603;  99,99799;   0,00000;  14,75955;   0,00000;  11,58732
2021-04-29 23:00:00; 13,81051;  71,60908;   0,35901;  10,07465;   9,06927;   0,64353;  99,99799;   0,00000;  14,75725;   0,00000;  11,54828
2021-04-29 23:20:00; 13,74964;  54,37993;   0,93476;  10,07490;   9,06705;   1,19070;  99,99799;   0,00000;  14,75468;   0,00000;  11,31552
2021-04-29 23:40:00; 13,69641;  62,11369;   0,92267;  10,07896;   9,06112;   1,12210;  99,99799;   0,00000;  14,75496;   0,00000;  11,63972
2021-04-29 23:30:00; 13,72164;  57,66635;   0,87253;  10,07591;   9,06633;   1,21030;  99,99799;   0,00000;  14,75669;   0,00000;  11,56384
2021-04-30 00:00:00; 13,65022;  74,35603;   1,20099;  10,07894;   9,05714;   1,70683;  99,99799;   0,00000;  14,75699;   0,00000;  11,74634
2021-04-29 23:50:00; 13,66904;  65,24246;   1,03896;  10,08022;   9,05963;   1,28870;  99,99799;   0,00000;  14,75554;   0,00000;  11,71676
2021-04-30 00:10:00; 13,62632; 136,53972;   0,48510;  10,08000;   9,05753;   0,95387;  99,99799;   0,00000;  14,75328;   0,00000;  12,34234
2021-04-30 21:30:00; 15,87596;  56,43436;   0,72651;  10,07290;   8,54216;   0,86893;  81,91650;   0,00000;  14,74952;   0,00000;  16,29165
2021-04-30 20:30:00; 16,10976;   5,90215;   0,15925;  10,07290;   8,52994;   0,35280;  80,65741;   0,00000;  14,74983;   0,00000;  16,64623
2021-04-30 21:00:00; 15,98504;  53,75556;   0,61299;  10,07290;   8,53751;   0,81503;  84,70430;   0,00000;  14,75039;   0,00000;  15,80377
2021-04-30 21:20:00; 15,91294;  57,73406;   0,61985;  10,07290;   8,54507;   0,85260;  81,54730;   0,00000;  14,74812;   0,00000;  16,32666
2021-04-30 20:40:00; 16,06914;  60,32505;   0,79821;  10,07290;   8,53190;   1,30830;  83,17790;   0,00000;  14,74784;   0,00000;  16,05808
2021-04-30 20:10:00; 16,19485;  59,11997;   0,36391;  10,07290;   8,53117;   0,73827;  79,50880;   0,00000;  14,74925;   0,00000;  16,94863
2021-04-30 19:40:00; 16,31874;  59,52922;   0,59698;  10,07212;   8,53482;   0,65170;  78,03680;   0,00000;  14,74839;   0,00000;  17,40152
2021-04-30 20:50:00; 16,02693;  52,35532;   0,79527;  10,07290;   8,53530;   1,08617;  85,48030;   0,00000;  14,75040;   0,00000;  15,54639
2021-04-30 21:10:00; 15,94647;  49,92285;   0,46958;  10,07290;   8,54141;   0,56023;  83,86299;   0,00000;  14,75439;   0,00000;  15,99161
2021-04-30 19:30:00; 16,36430;  60,80198;   0,44982;  10,07161;   8,53873;   0,64843;  78,75570;   0,00000;  14,74554;   0,00000;  17,38042
2021-04-30 19:00:00; 16,48983;  47,25602;   0,39968;  10,06318;   8,54796;   0,47367;  74,39170;   0,00000;  14,74839;   0,00000;  18,35762
2021-04-30 19:10:00; 16,44988;  57,49404;   0,42075;  10,06778;   8,54748;   0,69580;  76,66760;   0,00000;  14,74439;   0,00000;  17,99297
2021-04-30 19:50:00; 16,27780;  58,70874;   0,39608;  10,07264;   8,53483;   0,71377;  78,47270;   0,00000;  14,74895;   0,00000;  17,28543
2021-04-30 19:20:00; 16,40658;  69,21259;   0,61364;  10,07007;   8,54408;   0,80360;  77,69530;   0,00000;  14,74726;   0,00000;  17,72108
2021-04-30 20:00:00; 16,23654;  72,73087;   0,72291;  10,07290;   8,53215;   1,06983;  78,70341;   0,00000;  14,74639;   0,00000;  17,17414
