DATE; Talajnedvesség 90 cm; Napelem töltőfeszültség; Levegő-páratartalom; Belső akkufeszültség; Besugárzás; Talajnedvesség 60 cm; Fényegység; Széllökés; Talajhőmérséklet 0 cm; Fagy; Levegő-hőmérséklet; Csapadék; Szélirány; Légnyomás; Levélnedvesség; Szélsebesség; Talajnedvesség 30 cm; Külső akkufeszültség
2021-02-13 00:00:00; 25,43322;   9,21345;  73,58687;   4,23578; 110,22968;  23,55697;1027,64230;   4,15162;   1,30709;-9999,00000;  -6,90893;   0,00000;   4,24250;1023,59830;   2,58865;   1,20217;  27,66947;  13,24388
2021-01-13 00:00:00; 24,51621;   6,84940;  86,70612;   4,21556;  60,17668;  22,42125; 584,84375;   9,23381;   1,60565;-9999,00000;   0,42064;   0,00239; 274,25433;1001,73010;   2,95053;   4,21942;  26,54932;  12,49926
2021-01-12 00:00:00; 24,58982;   6,15393;  96,26341;   4,20211;  18,67958;  22,40975; 544,68400;   3,33333;   1,84381;-9999,00000;  -0,33701;   0,00558; 306,88190;1006,53406;   5,07042;   1,32258;  26,33281;  12,18272
2021-01-05 00:00:00; 25,51567;   6,01897;  94,71913;   4,19811;  15,92982;  24,07787; 568,40625;  10,77061;   5,73170;-9999,00000;   5,05901;   0,01587; 278,78625;1001,19460;   2,35088;   5,29749;  28,15054;  12,17111
2021-01-02 00:00:00; 25,35926;   7,34066;  79,62769;   4,21262;  53,56141;  23,45061; 625,44794;   7,72143;   4,21021;-9999,00000;   5,02014;   0,00000; 146,85059;1007,54065;   0,00000;   3,43571;  27,12535;  12,60601
2021-01-03 00:00:00; 24,98628;   6,23136;  82,64320;   4,21317;  22,06294;  23,04519; 426,60416;  10,44840;   4,41539;-9999,00000;   6,39682;   0,01028; 170,33359;1004,73145;   1,31119;   5,09609;  26,76121;  12,33259
2021-02-19 00:00:00; 24,67357;   8,05932;  86,90833;   4,22519;  49,59649;  22,72403; 532,52430;  11,51613;   3,64596;-9999,00000;   4,72756;   0,00237; 207,73962;1014,15283;   1,88811;   5,63441;  26,77414;  13,02632
2021-02-18 00:00:00; 24,69651;   8,77845;  86,28471;   4,22240; 110,52447;  22,73946; 852,73010;   4,01068;   2,99790;-9999,00000;   4,42226;   0,00000; 237,70786;1011,24400;   2,22028;   1,09964;  26,78591;  13,10920
2021-02-16 00:00:00; 24,95226;   8,70327;  79,28049;   4,23157;  86,46127;  23,02040; 526,37850;   4,82796;   0,47597;-9999,00000;  -1,16050;   0,00000; 224,17032;1018,28125;   1,96113;   1,93907;  26,95373;  13,18321
2021-03-01 00:00:00; 24,48227;   9,71877;  72,38934;   4,22847; 141,57343;  22,44182; 891,91320;   7,63571;   5,11092;-9999,00000;   4,96148;   0,00000;  23,51177;1021,53735;   0,77193;   3,14286;  25,87389;-9999,00000
2021-02-28 00:00:00; 24,54537;   9,64573;  68,99956;   4,22724; 128,07692;  22,52890; 903,78820;   5,38790;   5,67902;-9999,00000;   5,63239;   0,00000; 331,84180;1022,74426;   0,47038;   1,73665;  26,05053;-9999,00000
2021-02-27 00:00:00; 24,54462;   8,77426;  73,74673;   4,22502;  74,93007;  22,61169; 669,23530;   8,80357;   6,51965;-9999,00000;   7,23838;   0,00000;  48,84219;1017,29510;   1,57343;   3,08571;  26,26045;-9999,00000
2021-01-06 00:00:00; 25,45069;   6,41478;  92,19780;   4,19369;  20,31469;  23,58370; 494,47223;   9,38790;   4,61404;-9999,00000;   4,45725;   0,00079; 180,97333;1003,22490;   3,12937;   4,46975;  27,35539;  12,13214
2021-01-04 00:00:00; 24,80884;   5,98895;  93,61407;   4,20405;  13,65385;  23,09570; 582,81600;   4,15714;   5,18106;-9999,00000;   6,06184;   0,02768;  84,11861;1002,47080;   3,78947;   1,02857;  27,50244;  12,23970
2021-01-23 00:00:00; 24,13245;   6,52748;  76,45165;   4,20331;  31,66084;  22,34418; 538,55206;  23,96441;   5,35245;-9999,00000;   9,58027;   0,00000; 208,92781; 992,13214;   0,54196;  14,99644;  27,05132;  12,71857
2021-01-24 00:00:00; 24,23893;   6,93763;  85,95558;   4,21602;  37,91958;  22,48154; 634,23956;  11,89324;   5,73333;-9999,00000;   7,14366;   0,04271; 232,23848; 988,77950;   1,27622;   5,55160;  26,99423;  12,80701
2021-02-11 00:00:00; 25,74023;   6,71342;  91,33277;   4,21707;  15,21127;  24,06498; 409,09027;  13,10072;   4,63838;-9999,00000;  -0,34929;   0,01115; 267,82413;1001,62170;   2,41197;   5,44245;  28,65538;  12,63723
2021-01-07 00:00:00; 25,15696;   7,20080;  90,76950;   4,20851;  55,15789;  23,24698; 742,82983;   6,77778;   4,23438;-9999,00000;   2,94417;   0,00000; 282,89294;1005,14860;   2,59649;   3,34050;  27,04258;  12,50390
2021-03-05 00:00:00; 24,29361;   9,02181;  74,71516;   4,22448;  80,64912;  22,23520; 605,78820;  10,43572;   5,99790;-9999,00000;   5,97199;   0,00554; 255,89572;1005,68300;   1,87063;   4,23571;  25,29453;-9999,00000
