DATE; Levegő-páratartalom; Belső akkufeszültség; Napelem töltőfeszültség; Talajnedvesség 90 cm; Fagy; Talajnedvesség 30 cm; Talajhőmérséklet 0 cm; Talajnedvesség 60 cm; Csapadék; Szélirány; Légnyomás; Széllökés; Szélsebesség; Levegő-hőmérséklet; Fényegység; Besugárzás; Levélnedvesség; Külső akkufeszültség
2021-01-12 00:00:00; 93,17141;   4,13331;   7,27930;  26,95597;-9999,00000;  21,48585;   2,03818;  32,27666;   0,00046; 221,92792;1006,03937;   4,49819;   3,11441;  -0,46180;1719,91940;  58,36442;   0,00000;  11,60836
2021-01-05 00:00:00; 95,30891;   4,12435;   5,98786;  27,50155;-9999,00000;  23,06709;   5,14837;  33,01034;   0,00076; 227,68480;1001,35864;  10,18457;   7,53929;   4,31043;1581,06460;  16,12777;   0,41980;  10,61146
2021-01-04 00:00:00; 99,63496;   4,19667;   6,49107;  27,67480;-9999,00000;  21,97611;   4,45385;  33,01901;   0,00122; 313,04236;1001,90860;   6,84921;   5,10823;   3,49934;1612,65140;  33,53109;   0,56564;  11,46365
2021-01-03 00:00:00; 91,22907;   4,17722;   7,04573;  28,28128;-9999,00000;  22,10729;   4,93170;  33,33948;   0,00000; 104,10081;1002,30865;   8,75576;   6,64409;   5,76648;1735,14800;  51,63338;   0,14067;  11,76885
2021-01-02 00:00:00; 85,98988;   3,97207;   7,25073;  29,91071;-9999,00000;  22,37830;   4,04378;  35,99064;   0,00000; 113,31462;1004,66350;  10,39293;   7,74333;   4,89762;1655,97360;  62,68737;   0,00000;  11,82268
2021-02-25 00:00:00; 71,41434;   4,22572;   9,32647;  26,92038;-9999,00000;  21,83976;   6,56753;  32,34510;   0,00000; 154,15886;1022,42680;   7,26293;   5,34267;   9,50948;1971,15500; 136,18506;   0,10486;  12,35655
2021-02-24 00:00:00; 78,28891;   4,22464;   9,19910;  26,91755;-9999,00000;  21,79871;   5,70673;  32,26438;   0,00000; 156,63249;1026,11600;   4,01801;   2,59366;   6,78333;1991,29150; 130,24234;   0,15160;  12,49821
2021-01-19 00:00:00; 83,65260;   4,19596;   7,56948;  26,65885;-9999,00000;  21,07327;   0,40962;  31,73052;   0,00000; 164,57893;1011,44460;   9,54920;   7,30608;   0,51446;1794,76600;  54,81349;   0,00000;  11,84075
2021-01-18 00:00:00; 85,51798;   4,18879;   6,86603;  26,66173;-9999,00000;  21,16210;   0,46505;  31,76093;   0,00000; 237,19937;1013,61490;   6,81732;   4,94833;  -4,48316;1708,64650;  37,21742;   0,00000;  11,41501
2021-01-17 00:00:00; 89,22288;   4,19713;   6,60582;  26,71512;-9999,00000;  21,22319;   0,70575;  31,86612;   0,00000; 275,79843;1008,56650;   9,74273;   7,48256;  -3,77196;1702,39650;  38,54467;   0,00000;  11,36482
2021-01-16 00:00:00; 79,65107;   4,20853;   7,64098;  26,77769;-9999,00000;  21,30426;   0,89013;  31,97367;   0,00000; 290,72842;1010,01600;  13,78173;  10,77520;  -2,24613;1793,97080;  51,16020;   0,00000;  11,86521
2021-01-15 00:00:00; 80,24929;   4,19930;   7,47281;  26,78750;-9999,00000;  21,33724;   1,35577;  32,09947;   0,00000; 280,37326;1007,30865;  12,88470;   9,93836;  -0,99088;1801,15140;  49,37545;   0,00000;  11,69525
2021-01-06 00:00:00; 93,72144;   4,12085;   7,22719;  27,49241;-9999,00000;  22,75299;   4,99334;  33,33936;   0,00061; 131,96577;1001,14280;   9,80029;   7,42538;   4,68387;1710,06040;  56,80357;   0,06551;  11,71021
2021-02-16 00:00:00; 74,04840;   4,21982;   7,56740;  27,31938;-9999,00000;  21,16225;   0,09210;  32,08911;   0,00000; 132,64497;1017,09460;   6,56200;   4,85642;  -1,82361;1909,99380;  39,56178;   0,00000;  12,27513
2021-02-15 00:00:00; 66,83990;   4,21872;   9,69635;  27,43401;-9999,00000;  21,27809;   0,10126;  32,20170;   0,00000; 259,21686;1025,13930;   8,11756;   6,07039;  -2,76374;1910,90560; 133,59251;   0,00000;  12,45278
2021-02-14 00:00:00; 77,26341;   4,21318;   9,59933;  27,62064;-9999,00000;  21,44711;   0,24909;  32,38088;   0,00000; 295,45862;1026,00560;  11,56541;   8,92151;  -3,44974;1956,66300; 121,96545;   0,00000;  12,30125
2021-02-13 00:00:00; 71,55679;   4,20139;   9,57974;  27,88442;-9999,00000;  21,69994;   0,75123;  32,68378;   0,00000; 292,96292;1024,16670;   7,86162;   5,75674;  -6,23705;1939,05350; 126,46571;   0,00000;  12,25958
2021-01-21 00:00:00; 77,73307;   4,22074;   7,94598;  26,65886;-9999,00000;  21,25482;   2,66347;  31,76423;   0,00000; 149,26813;1004,00360;  16,93232;  13,57307;   6,53233;1783,17570;  73,25374;   0,00000;  12,19029
2021-01-20 00:00:00; 75,54958;   4,21241;   7,67875;  26,65885;-9999,00000;  21,09394;   1,10159;  31,72321;   0,00000; 180,55916;1007,09230;  14,15274;  11,03746;   6,00893;1785,11050;  63,23949;   0,00000;  11,89041
2021-01-31 00:00:00; 91,43427;   4,19115;   6,86488;  27,95009;-9999,00000;  24,78058;   3,60307;  35,49658;   0,00076; 350,30740; 993,20760;  14,86459;  11,77914;   0,33728;1690,82700;  34,09026;   0,02381;  11,31994
2021-01-30 00:00:00; 90,15009;   4,16845;   7,70827;  27,80272;-9999,00000;  23,94307;   4,01012;  35,81344;   0,00015; 174,13141; 989,78820;   7,34366;   5,47623;   5,69936;1782,67740;  73,09422;   0,43175;  11,61417
2021-01-29 00:00:00; 92,41267;   4,16974;   6,77778;  26,81103;-9999,00000;  23,75096;   3,17097;  33,82645;   0,00319; 176,75743; 991,50640;  10,35544;   7,86590;   5,31338;1757,97360;  23,95507;   0,66690;  10,69629
2021-02-19 00:00:00; 81,37947;   4,22057;   8,30486;  27,01572;-9999,00000;  21,38801;   2,73054;  32,00458;   0,00000; 168,25764;1012,14820;   8,31461;   6,34125;   5,68318;1907,17920;  66,39800;   0,00000;  12,23752
2021-02-18 00:00:00; 75,20485;   4,21695;   9,37459;  27,08727;-9999,00000;  21,23507;   0,97776;  31,96872;   0,00000; 261,43030;1011,33954;   9,16162;   6,96537;   5,04244;1953,58780; 131,14919;   0,00000;  12,22838
2021-02-17 00:00:00; 74,01631;   4,21058;   7,85402;  27,20802;-9999,00000;  21,14572;   0,27577;  32,00080;   0,00000; 193,71785;1009,19240;   8,53179;   6,44220;   2,50642;1953,13210;  46,31711;   0,03354;  11,99681
2021-01-22 00:00:00; 80,02364;   4,22016;   6,77441;  26,65886;-9999,00000;  21,43009;   3,92313;  31,84607;   0,00000; 142,74422; 997,27496;  16,75540;  13,47410;   7,86884;1761,35560;  28,33333;   0,00000;  11,93235
2021-02-05 00:00:00; 87,63899;   4,22382;   7,46532;  27,67835;-9999,00000;  22,32368;   5,87474;  33,19573;   0,00000; 183,39137;1005,81067;   6,75755;   4,94748;   8,05944;1704,25710;  66,06126;   0,02573;  12,29367
2021-02-04 00:00:00; 81,19622;   4,20792;   8,52515;  28,15115;-9999,00000;  22,48300;   5,67628;  33,59311;   0,00045; 199,29938;1003,90845;  11,07626;   8,58201;   9,19627;1918,10350;  95,98576;   0,22895;  11,98873
2021-02-03 00:00:00; 93,46367;   4,17621;   7,91855;  29,07346;-9999,00000;  22,61000;   3,16297;  36,18302;   0,00000; 156,56952;1001,61950;  16,04971;  12,65346;   5,00854;1860,33590;  59,06852;   0,49199;  11,89433
2021-02-02 00:00:00; 99,09922;   4,16486;   6,74769;  29,14903;-9999,00000;  23,39994;   2,41641;  36,59537;   0,00000; 157,83600;1002,21280;  10,53913;   7,91232;  -0,40326;1725,67200;  23,81636;   0,48808;  10,93228
2021-02-01 00:00:00; 84,99841;   4,19447;   8,03173;  29,08156;-9999,00000;  24,28517;   2,49946;  36,67219;   0,00061;  86,78390; 993,30884;   7,26266;   5,37337;  -0,23218;1739,94580;  89,28264;   0,00000;  11,84995
2021-01-28 00:00:00; 84,97511;   4,20542;   7,67443;  26,64988;-9999,00000;  21,79384;   1,82737;  32,10226;   0,00122; 171,25601;1000,74020;  10,38841;   7,97319;  -0,16356;1859,93810;  60,22972;   0,15978;  11,68521
2021-01-27 00:00:00; 81,74800;   4,20964;   8,17838;  26,66540;-9999,00000;  22,19077;   2,44322;  32,23215;   0,00000; 282,15097;1004,80740;  13,59450;  10,63143;   0,52234;1797,80630;  62,08961;   0,00000;  12,17767
2021-01-26 00:00:00; 79,85448;   4,21293;   8,52898;  26,72216;-9999,00000;  23,11604;   3,06005;  32,24818;   0,00000; 283,54610;1001,55975;  15,95441;  12,58104;   1,19545;1787,63330;  78,12679;   0,00000;  12,03862
