"NEV","GPS_HOSSZUSAG","GPS_SZELESSEG"
ÉK_SZEREP,21.05875,47.24652
D_KONDOROS,20.76845,46.71912
DD_BONYHÁD,18.51572,46.27951
ÉD_PÖTRÉTE,16.95341,46.65948
KÖ_SZENTISTVÁN,20.69103,47.72077
ÉD_MEZÕÕRS,17.90046,47.5714
Borsó1,21.37756,47.96478
Borsó2,21.37578,47.96499
DRÓN_MOBIL_ÁLLOMÁS,21.224154,47.406442
ÉK_TÉPE1,21.546061,47.293713
ÉK_TÉPE_kukorica2,21.544421,47.295002
ÉK_TÉPE_kukorica1,21.54752,47.297127
ÉK_TÉPE_kukorica3,21.544858,47.296283
ÉK_TÉPE_kukorica4,21.542993,47.297296
D_DEREKEGYHÁZ,20.35681,46.57239
D_MAGYARTÉS,20.221583,46.730641
D_OKÁNY,21.35173,46.89845
KÖ_Õrbottyán_1033N,19.24864,47.673366
KÖ_Õrbottyán_1035N,19.24867,47.673345
KÖ_Õrbottyán_1036N,19.248706,47.673322
D_DUNAPATAJ,18.97203,46.61909
ÖNTÖZÉS1,21.25168911,47.41277596
ÖNTÖZÉS2,21.25251406,47.4128444
KONTROLL,21.2512468,47.41300601
ÉK_NÁDUDVAR_2,21.25371,47.41174
