DATE; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Besugárzás; Csapadék; Talajnedvesség 60 cm; Szélsebesség; Levegő-páratartalom; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség
2021-03-31 15:00:00; 2,23984;  30,59316;  27,16228; 216,97209;   0,00000;  49,24334;   1,70572;  57,63347;  19,43320;  10,31975;   4,47587;-9999,00000
2021-03-31 14:00:00; 3,01159;  30,61516;  27,17876; 383,90756;   0,00000;  49,26880;   2,02202;  56,28628;  19,60268;  10,22051; 355,42438;-9999,00000
2021-03-31 13:00:00; 3,33799;  30,59836;  27,18118; 483,12930;   0,00000;  49,29323;   2,38184;  55,82725;  19,60588;  10,04189; 347,23206;-9999,00000
2021-03-31 12:00:00; 3,12321;  30,63587;  27,16638; 581,39276;   0,00000;  49,31598;   2,06546;  55,87592;  19,50673;   9,78976; 355,09650;-9999,00000
2021-03-31 11:00:00; 3,02248;  30,63743;  27,15429; 618,60690;   0,00000;  49,33925;   1,92686;  56,10749;  18,86084;   9,46676; 350,15387;-9999,00000
2021-03-31 10:00:00; 2,81478;  30,65452;  27,15292; 503,96255;   0,00000;  49,36969;   1,96383;  56,45676;  18,08085;   9,11408; 346,26425;-9999,00000
2021-03-31 09:00:00; 2,55862;  30,66944;  27,16315; 629,51090;   0,00000;  49,38025;   1,75380;  57,36446;  17,05746;   8,77145; 345,84116;-9999,00000
2021-03-31 07:00:00; 1,76237;  30,67617;  27,19948; 261,05112;   0,00000;  49,41675;   1,30481;  64,47021;  14,15566;   8,36679; 344,32507;-9999,00000
2021-03-31 08:00:00; 1,83559;  30,67927;  27,18701; 435,73157;   0,00000;  49,41335;   1,37375;  55,60430;  15,65840;   8,51948; 332,67510;-9999,00000
2021-03-31 06:00:00; 0,95278;  30,65241;  27,20888; 144,95596;   0,00000;  49,41702;   0,67838;  72,25106;  12,05456;   8,28820; 338,53745;-9999,00000
2021-03-31 05:00:00; 0,56132;  30,63602;  27,20326;  38,28648;   0,00000;  49,41893;   0,33475;  76,51736;  10,53664;   8,27077; 319,59870;-9999,00000
2021-03-31 04:00:00; 0,69662;  30,63806;  27,19157;   5,49607;   0,00000;  49,42136;   0,52501;  79,32742;   9,87935;   8,28967; 351,68814;-9999,00000
2021-03-31 03:00:00; 0,70560;  30,64112;  27,19140;   0,00000;   0,00000;  49,42570;   0,48543;  78,74554;   9,83993;   8,31976; 321,37700;-9999,00000
2021-03-31 01:00:00; 0,59943;  30,63935;  27,19134;   0,00000;   0,00000;  49,42475;   0,44190;  74,39535;   9,97960;   8,39645; 323,24540;-9999,00000
