DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Talajnedvesség 30 cm; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 90 cm; Széllökés; Levélnedvesség; Fagy; Fényegység; Besugárzás; Külső akkufeszültség; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Szélirány; Légnyomás
2021-01-13 20:00:00; 0,00000;   1,29167;  30,58600;   3,41667;-9999,00000;  32,48999;   0,00000;  34,39399;   7,83333;   5,00000;-9999,00000;   3,75000;   0,00000;  12,86492;   4,24583;  80,45000;  -0,49167; 358,44800;1004,83330
2021-01-13 19:00:00; 0,00000;   1,38333;  30,58600;   2,09091;-9999,00000;  32,48999;   0,00000;  34,39399;   5,72727;   5,00000;-9999,00000; 327,25000;   0,00000;  12,87717;   4,24708;  77,52334;   0,41667; 358,24450;1005,15840
2021-01-13 18:00:00; 0,00000;   1,51818;  30,58600;   4,33333;-9999,00000;  32,48999;   0,00000;  34,39399;  10,00000;   5,00000;-9999,00000;  14,83333;   0,00000;  12,89350;   4,24700;  76,93726;   0,83636; 359,97076;1005,30005
2021-01-13 17:00:00; 0,00000;   1,69167;  30,58600;   1,91667;-9999,00000;  32,48999;   0,00000;  34,39399;   8,33333;   5,00000;-9999,00000; 649,16670;   0,00000;  12,91225;   4,24725;  76,13583;   1,23333; 359,94156;1005,37500
2021-01-13 16:00:00; 0,00000;   1,85833;  30,55625;   0,18182;-9999,00000;  32,48999;   0,00000;  34,39399;   1,27273;   5,00000;-9999,00000;   0,00000;   0,00000;  12,93683;   4,24700;  76,89500;   1,20833; 358,82400;1005,19995
2021-01-13 15:00:00; 7,10317;   1,99167;  30,46700;   1,16667;-9999,00000;  32,48999;   0,00000;  34,39399;   9,33333;   5,00000;-9999,00000;1984,75000;   4,58333;  12,97000;   4,24792;  72,38833;   2,52500;   0,00000;1004,84160
2021-01-13 14:00:00; 15,58833;   1,96364;  30,44536;   9,41667;-9999,00000;  32,48999;   0,00000;  34,39399;  18,91667;   5,00000;-9999,00000;3895,00000;  20,45455;  13,06783;   4,24783;  68,39273;   3,49091; 349,92227;1004,66370
2021-01-13 13:00:00; 20,25400;   1,76667;  30,34799;  14,00000;-9999,00000;  32,48008;   0,00000;  34,39399;  24,36364;   5,00000;-9999,00000;3895,00000; 211,25000;  13,74334;   4,24750;  63,77417;   4,72500; 338,62576;1004,09155
2021-01-13 12:00:00; 22,12534;   1,45833;  30,35791;  13,66667;-9999,00000;  32,48999;   0,00000;  34,39399;  26,08333;   5,00000;-9999,00000;3895,00000; 210,83333;  13,58316;   4,24825;  61,64667;   4,55833; 275,24910;1003,68335
2021-01-13 11:00:00; 22,36525;   1,17500;  30,41741;  14,91667;-9999,00000;  32,48999;   0,00000;  34,39399;  29,08333;   5,00000;-9999,00000;3895,00000; 276,25000;  13,85858;   4,24783;  60,99500;   4,48333; 185,47707;1003,46674
