DATE; Talajhőmérséklet 0 cm; Külső akkufeszültség; Fényegység; Széllökés; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Talajnedvesség 120 cm; Levélnedvesség; Levegő-páratartalom; Szélsebesség; Besugárzás; Talajnedvesség 30 cm; Napelem töltőfeszültség; Légnyomás; Szélirány; Belső akkufeszültség; Fagy; Csapadék; Levegő-hőmérséklet
2021-04-29 07:00:00; 10,80000;  13,40358;3895,00000;  18,09091;-9999,00000;  21,78000;-9999,00000;   0,00000;  67,86500;   9,18182; 565,00000;  23,95175;  20,73217;1002,80840; 195,96619;   4,21383;-9999,00000;   0,00000;  15,23334
2021-04-29 08:00:00; 10,80000;  13,37833;3895,00000;  19,75000;-9999,00000;  21,78000;-9999,00000;   0,00000;  64,61167;   9,25000; 600,41670;  23,92200;  20,61900;1002,62494; 201,34802;   4,21350;-9999,00000;   0,00000;  16,76667
2021-04-29 09:00:00; 10,91667;  13,43259;3895,00000;  18,66667;-9999,00000;  21,78000;-9999,00000;   0,00000;  62,29250;   8,25000; 571,81820;  23,92200;  20,38108;1002,24994; 204,11984;   4,21500;-9999,00000;   0,00000;  17,85833
2021-04-29 10:00:00; 11,09167;  13,34700;3895,00000;  18,16667;-9999,00000;  21,78000;-9999,00000;   0,00000;  60,93545;   8,08333; 575,83330;  23,92200;  20,52700;1001,94540; 207,67094;   4,21400;-9999,00000;   0,00000;  18,82727
2021-04-29 21:00:00; 12,60000;  12,91517;   0,25000;   8,27273;-9999,00000;  21,74754;-9999,00000;   0,00000;  72,02666;   2,72727;   0,00000;  23,80300;   0,04933;1000,49164; 212,39189;   4,20333;-9999,00000;   0,00000;  16,33333
2021-04-28 16:00:00; 10,84167;  13,17042;3895,00000;   3,58333;-9999,00000;  21,78000;-9999,00000;   0,00000;  68,63000;   1,00000;  57,91667;  23,95175;  17,08516;1000,80900;  27,15749;   4,21167;-9999,00000;   0,00000;  15,58182
2021-04-28 17:00:00; 10,92500;  13,01883;2313,75000;   0,83333;-9999,00000;  21,78000;-9999,00000;   0,41667;  73,52167;   0,00000;   6,25000;  23,99141;  11,63575;1000,86664;  26,07025;   4,20942;-9999,00000;   0,00000;  14,74167
2021-04-28 18:00:00; 11,07273;  12,98233;  12,41667;   0,09091;-9999,00000;  21,78000;-9999,00000;   5,00000;  83,93083;   0,00000;   0,00000;  24,04100;   0,27233;1001,25836;  26,10510;   4,20708;-9999,00000;   0,00000;  13,48334
2021-04-28 19:00:00; 11,10000;  12,95300;   1,16667;   0,33333;-9999,00000;  21,78000;-9999,00000;   4,16667;  90,10916;   0,00000;   0,00000;  24,04100;   0,01908;1001,54170;  26,04130;   4,20667;-9999,00000;   0,00000;  12,66667
2021-04-28 20:00:00; 11,10000;  12,91950;  10,25000;   5,91667;-9999,00000;  21,78000;-9999,00000;   0,00000;  86,97417;   2,16667;   0,00000;  24,04100;   0,01808;1001,89166; 251,33636;   4,20608;-9999,00000;   0,00000;  12,93333
2021-04-28 15:00:00; 10,69167;  13,22716;3895,00000;   5,63636;-9999,00000;  21,78000;-9999,00000;   0,00000;  67,35333;   2,00000; 106,66666;  23,94183;  18,80792;1001,08330;  71,59002;   4,21308;-9999,00000;   0,00000;  15,80000
2021-04-28 14:00:00; 10,53333;  13,38608;3895,00000;   7,83333;-9999,00000;  21,78000;-9999,00000;   0,00000;  68,00500;   3,41667; 291,66666;  23,94183;  19,19925;1001,35004; 100,47053;   4,21550;-9999,00000;   0,00000;  16,10833
2021-04-28 12:00:00; 10,30000;  13,39425;3895,00000;   8,63636;-9999,00000;  21,78000;-9999,00000;   0,00000;  77,49833;   4,18182; 475,41666;  24,03108;  20,53083;1002,39166; 101,85145;   4,21375;-9999,00000;   0,00000;  14,68333
2021-04-28 13:00:00; 10,38333;  13,32408;3895,00000;   9,66667;-9999,00000;  21,78000;-9999,00000;   0,00000;  70,26833;   4,41667; 406,81818;  23,96166;  20,46233;1001,76666; 108,81628;   4,21358;-9999,00000;   0,00000;  15,60000
2021-04-28 03:00:00; 10,38333;  12,78992;1489,25000;   2,66667;-9999,00000;  21,79983;-9999,00000;   1,66667;  70,40084;   0,75000;   1,25000;  24,04100;  10,16733;1002,09160; 112,61025;   4,19942;-9999,00000;   0,00000;   7,80000
2021-04-28 02:00:00; 10,43333;  12,82192; 331,58334;   3,45455;-9999,00000;  21,78992;-9999,00000;   0,00000;  69,01084;   1,81818;   0,00000;  24,04100;   0,12008;1002,05005; 112,70602;   4,20050;-9999,00000;   0,00000;   7,55000
