DATE; Szélirány; Belső akkufeszültség; Besugárzás; Levélnedvesség; Talajhőmérséklet 0 cm; Légnyomás; Csapadék; Napelem töltőfeszültség; Külső akkufeszültség; Fagy; Szélsebesség; Talajnedvesség 90 cm; Széllökés; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Fényegység; Levegő-hőmérséklet
2021-01-25 18:00:00; 271,70142;   4,22500;   0,00000;   0,00000;   3,50000; 994,20905;   0,00000;   0,00000;  12,72925;-9999,00000;   2,83333;  26,34167;   5,66667;  91,68728;  24,51700;  28,27541; 781,00000;   1,80909
2021-01-25 17:00:00; 268,15155;   4,22725;   0,00000;   0,00000;   3,77500; 994,32500;   0,00000;   0,00000;  12,74567;-9999,00000;   3,63636;  26,42099;   7,90909;  89,79083;  24,62608;  28,32500; 122,25000;   2,45833
2021-01-25 19:00:00; 275,19064;   4,22500;   0,00000;   5,00000;   3,23636; 994,13635;   0,00000;   0,00000;  12,71717;-9999,00000;   0,36364;  26,30200;   2,00000;  92,54909;  24,51700;  28,20600;  90,00000;   1,13636
2021-01-25 20:00:00; 275,19064;   4,22700;   0,00000;   5,41667;   2,94167; 994,29990;   0,00000;   0,00000;  12,70600;-9999,00000;   0,00000;  26,30200;   0,00000;  93,53077;  24,39800;  28,20600; 421,66666;   0,50000
2021-01-25 21:00:00; 282,99667;   4,22592;   0,00000;   5,00000;   2,69167; 995,08330;   0,00000;   0,00000;  12,69100;-9999,00000;   1,08333;  26,22266;   3,66667;  94,19666;  24,34841;  28,15641; 424,25000;   0,70000
2021-01-25 16:00:00; 269,61508;   4,22675;   0,00000;   0,00000;   3,92500; 994,24170;   0,00000;   0,00092;  12,76633;-9999,00000;   5,08333;  26,42099;   9,75000;  87,06666;  24,72525;  28,43408;1353,33340;   3,16667
2021-01-25 15:00:00; 278,15247;   4,22700;   0,00000;   0,00000;   4,14167; 993,54175;   0,00000;   7,13850;  12,78492;-9999,00000;   9,41667;  26,42099;  14,66667;  84,82916;  24,82441;  28,47645;  81,75000;   3,55833
2021-01-25 13:00:00; 284,61334;   4,22792;  53,33333;   0,00000;   4,45000; 992,62500;   0,00000;  16,86792;  12,90992;-9999,00000;  10,30769;  26,54000;  17,61538;  84,00500;  25,06241;  28,60877; 604,00000;   3,74167
2021-01-27 17:00:00; 350,38132;   4,23008;   0,00000;   5,00000;   1,16667;1003,72490;   0,00000;   0,00000;  12,80125;-9999,00000;   0,00000;  25,35000;   0,16667;  91,61417;  23,31708;  27,13500;1031,83340;  -1,09167
2021-01-27 16:00:00; 350,24237;   4,22950;   0,00000;   1,66667;   1,29167;1003,67280;   0,00000;   0,04292;  12,83400;-9999,00000;   0,00000;  25,34999;   0,00000;  86,74000;  23,32700;  27,13500;  83,58334;  -0,31818
2021-01-27 18:00:00; 350,33884;   4,22917;   0,00000;   5,00000;   1,10000;1003,66670;   0,00000;   0,00000;  12,77217;-9999,00000;   0,00000;  25,30041;   0,00000;  93,06167;  23,22963;  27,07550; 271,58334;  -1,36667
2021-01-27 12:00:00; 351,95905;   4,23000; 154,09091;   5,00000;   1,42727;1004,00000;   0,00000;  19,27942;  13,62842;-9999,00000;   2,72727;  25,34999;   7,63636;  81,97500;  23,32700;  27,13500; 753,50000;   2,77000
2021-01-27 13:00:00; 343,37692;   4,22925;  81,15385;   1,92308;   1,64167;1004,06930;   0,00000;  17,53717;  13,34066;-9999,00000;   2,75000;  25,35000;   7,08333;  78,42846;  23,32700;  27,13500; 786,91670;   2,87692
2021-01-27 22:00:00; 349,76517;   4,22717;   0,00000;   5,00000;   0,90000;1004,03326;   0,00000;   0,00000;  12,72017;-9999,00000;   0,00000;  25,23100;   1,00000;  90,79751;  23,20799;  27,01599; 125,16666;  -1,76667
2021-01-27 20:00:00; 350,43472;   4,22800;   0,00000;   5,00000;   1,00000;1003,79987;   0,00000;   0,00100;  12,74582;-9999,00000;   0,00000;  25,23100;   0,09091;  93,67182;  23,20799;  27,09172;1149,36360;  -1,80000
2021-01-27 21:00:00; 350,38132;   4,22908;   0,00000;   5,41667;   0,91538;1003,90000;   0,00000;   0,00000;  12,73592;-9999,00000;   0,00000;  25,23100;   0,25000;  92,40616;  23,20800;  27,02515; 688,84610;  -1,76154
2021-01-27 14:00:00; 340,69394;   4,22925;  57,27273;   0,00000;   1,60833;1003,79156;   0,00000;  17,07433;  13,21775;-9999,00000;   1,58333;  25,35000;   5,41667;  76,93750;  23,27741;  27,03583; 766,66670;   2,60833
2021-01-27 15:00:00; 351,05533;   4,22758;   9,54546;   0,00000;   1,41667;1003,55000;   0,00000;  10,88842;  12,88150;-9999,00000;   0,16667;  25,35000;   2,41667;  79,27167;  23,32700;  27,07550; 144,08333;   1,25000
2021-01-27 07:00:00; 355,35355;   4,21608;  63,50000;   5,00000;   1,10000;1004,23640;   0,00000;  16,96283;  12,83133;-9999,00000;   1,63636;  25,46900;   6,72727;  92,34182;  23,44600;  27,25400; 885,16670;  -2,58182
2021-01-27 08:00:00; 0,80860;   4,21700; 109,58334;   5,41667;   1,00000;1004,31820;   0,00000;  17,47442;  13,21350;-9999,00000;   2,66667;  25,46900;   8,66667;  93,50454;  23,44599;  27,25400; 895,91670;  -2,10000
2021-01-27 09:00:00; 357,86020;   4,22200; 240,76923;   5,00000;   1,00000;1004,46920;   0,01892;  21,08358;  13,76933;-9999,00000;   2,41667;  25,44916;   8,25000;  91,26539;  23,42616;  27,20441;1240,66660;  -0,44615
2021-01-26 23:00:00; 332,38250;   4,22050;   0,00000;   5,00000;   1,58333;1004,19230;   0,00000;   0,00000;  12,56850;-9999,00000;   0,46154;  25,58800;   3,00000;  87,96693;  23,56500;  27,48285;  94,58334;  -1,60769
2021-01-27 00:00:00; 308,33282;   4,21933;   0,00000;   5,00000;   1,45455;1004,00000;   0,00000;   0,00000;  12,56175;-9999,00000;   0,27273;  25,58800;   4,27273;  88,73546;  23,56500;  27,38382;  94,08334;  -2,03636
2021-01-27 01:00:00; 347,69960;   4,21925;   0,00000;   5,00000;   1,39231;1003,80835;   0,00000;   0,00000;  12,55517;-9999,00000;   0,00000;  25,54223;   2,00000;  89,73167;  23,56500;  27,31350; 850,33330;  -2,55833
2021-01-27 02:00:00; 354,36970;   4,21967;   0,00000;   5,00000;   1,30000;1003,63330;   0,00000;   0,00000;  12,54775;-9999,00000;   0,08333;  25,46900;   2,41667;  90,49833;  23,52533;  27,37299;1066,75000;  -2,81667
2021-01-27 03:00:00; 345,25665;   4,21925;   0,00000;   5,50000;   1,30000;1003,64545;   0,00000;   0,00000;  12,54225;-9999,00000;   0,90000;  25,46900;   5,20000;  89,91454;  23,44600;  27,37300; 101,00000;  -2,50909
2021-01-27 11:00:00; 353,67020;   4,23167; 355,83334;   5,00000;   1,05833;1004,14160;   0,00000;  21,51117;  13,79333;-9999,00000;   2,66667;  25,34999;   7,41667;  83,71084;  23,32700;  27,13500;1845,58340;   2,34167
2021-01-27 04:00:00; 343,90097;   4,21850;   0,00000;   5,00000;   1,20769;1003,59155;   0,00000;   0,00000;  12,54125;-9999,00000;   2,38462;  25,46900;   7,00000;  89,84000;  23,44599;  27,37299; 303,41666;  -2,11667
2021-01-27 05:00:00; 342,38098;   4,21725;   0,00000;   5,00000;   1,10833;1003,50830;   0,00000;   3,67325;  12,53933;-9999,00000;   2,00000;  25,46900;   6,27273;  90,87417;  23,44600;  27,34054; 102,08334;  -2,77500
