DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Levélnedvesség; Széllökés; Fényegység; Szélirány; Levegő-hőmérséklet; Talajnedvesség 120 cm; Külső akkufeszültség; Talajnedvesség 60 cm; Belső akkufeszültség; Fagy; Levegő-páratartalom; Talajnedvesség 90 cm; Csapadék; Légnyomás; Besugárzás; Talajnedvesség 30 cm; Szélsebesség
2021-03-06 03:20:00; 0,00000;   3,90000;  10,00000;   5,50000;   0,00000;   8,27001;   2,05000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  66,87000;  34,27500;   0,00000;1020,15000;   0,00000;  30,70500;   0,00000
2021-03-06 01:00:00; 0,00000;   4,30000;  10,00000;  25,50000;   0,00000;  59,47217;   2,45000;-9999,00000;-9999,00000;  32,72800;   4,24400;-9999,00000;  62,71500;  34,27500;   0,00000;1018,55000;   0,00000;  30,70500;   7,50000
2021-03-06 01:30:00; 0,00000;   4,30000;  10,00000;  18,00000;   0,00000;  59,29625;   2,40000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  61,69000;  34,27500;   0,00000;1018,90000;   0,00000;  30,70500;   3,00000
2021-03-06 03:30:00; 0,00000;   3,90000;  10,00000;   0,00000;   0,00000;  47,50727;   1,95000;-9999,00000;-9999,00000;  32,72800;   4,24250;-9999,00000;  69,52500;  34,27500;   0,00000;1020,20000;   0,00000;  30,70500;   0,00000
2021-03-06 04:30:00; 0,08800;   3,80000;  10,00000;   0,00000;   0,00000;   6,68600;   1,40000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  72,05000;  34,27500;   0,00000;1021,45000;   0,00000;  30,70500;   0,00000
2021-03-06 02:00:00; 0,00000;   4,10000;  10,00000;  24,50000;   0,00000;  57,18453;   2,40000;-9999,00000;-9999,00000;  32,72800;   4,24350;-9999,00000;  58,82000;  34,27500;   0,00000;1019,20000;   0,00000;  30,70500;   5,50000
2021-03-06 03:10:00; 0,00000;   3,90000;  10,00000;   1,00000;   0,00000;  19,88261;   2,10000;-9999,00000;-9999,00000;  32,72800;   4,24000;-9999,00000;  64,51500;  34,27500;   0,00000;1020,05000;   0,00000;  30,70500;   0,00000
2021-03-06 03:40:00; 0,00000;   3,90000;  10,00000;   0,00000;   0,00000;  45,21999;   1,90000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  68,79500;  34,27500;   0,00000;1020,35000;   0,00000;  30,70500;   0,00000
2021-03-06 01:50:00; 0,00000;   4,20000;  10,00000;  20,00000;   0,50000;  52,08242;   2,35000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  59,93500;  34,27500;   0,00000;1019,15000;   0,00000;  30,70500;   3,50000
2021-03-06 02:20:00; 0,00000;   4,10000;  10,00000;  19,50000;   0,00000;  61,05578;   2,25000;-9999,00000;-9999,00000;  32,72800;   4,24200;-9999,00000;  59,44500;  34,27500;   0,00000;1019,35000;   0,00000;  30,70500;   6,00000
2021-03-06 04:00:00; 0,00000;   3,80000;  10,00000;   0,00000;   0,00000;   4,92662;   1,75000;-9999,00000;-9999,00000;  32,72800;   4,24200;-9999,00000;  67,98500;  34,27500;   0,00000;1020,65000;   0,00000;  30,70500;   0,00000
2021-03-06 04:20:00; 0,00000;   3,80000;  10,00000;   0,00000;   0,00000;  11,61264;   1,40000;-9999,00000;-9999,00000;  32,72800;   4,24250;-9999,00000;  72,96000;  34,27500;   0,00000;1021,19995;   0,00000;  30,70500;   0,00000
2021-03-06 04:50:00; 6,60300;   3,80000;  10,00000;   0,00000; 167,50000;  22,69776;   1,30000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  70,76500;  34,27500;   0,00000;1021,60000;   0,00000;  30,70500;   0,00000
2021-03-06 04:40:00; 1,47900;   3,80000;  10,00000;   0,00000;   7,00000;   9,67734;   1,40000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  71,22000;  34,27500;   0,00000;1021,40000;   0,00000;  30,70500;   0,00000
2021-03-04 23:00:00; 0,00000;   5,20000;  10,00000;   0,00000;   0,00000; 312,49298;   4,75000;-9999,00000;-9999,00000;  32,66850;   4,24200;-9999,00000;  72,15500;  34,27500;   0,00000;1005,85000;   0,00000;  30,70500;   0,00000
2021-03-05 00:00:00; 0,00000;   4,90000;  10,00000;   0,00000;   0,00000; 304,22260;   4,45000;-9999,00000;-9999,00000;  32,66850;   4,24500;-9999,00000;  72,02000;  34,27500;   0,00000;1005,85000;   0,00000;  30,70500;   0,00000
2021-03-04 23:40:00; 0,00000;   5,00000;  10,00000;   0,00000;   0,00000; 312,49252;   4,20000;-9999,00000;-9999,00000;  32,72800;   4,24250;-9999,00000;  72,32000;  34,27500;   0,00000;1005,80000;   0,00000;  30,70500;   0,00000
2021-03-05 00:10:00; 0,00000;   4,90000;  10,00000;   0,00000;   1,00000; 300,52808;   4,35000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  72,74000;  34,27500;   0,00000;1005,80000;   0,00000;  30,70500;   0,00000
2021-03-05 00:30:00; 0,00000;   4,85000;  10,00000;   0,00000;   1,50000; 332,72748;   4,30000;-9999,00000;-9999,00000;  32,72800;   4,24200;-9999,00000;  72,87500;  34,27500;   0,00000;1005,80000;   0,00000;  30,70500;   0,00000
2021-03-04 23:10:00; 0,00000;   5,10000;  10,00000;   0,00000;   2,50000; 312,49298;   4,20000;-9999,00000;-9999,00000;  32,66850;   4,24150;-9999,00000;  72,94500;  34,27500;   0,00000;1005,90000;   0,00000;  30,70500;   0,00000
2021-03-04 23:20:00; 0,00000;   5,10000;  10,00000;   0,00000;   0,00000; 312,49298;   3,75000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  75,20500;  34,27500;   0,00000;1005,85000;   0,00000;  30,70500;   0,00000
2021-03-04 23:50:00; 0,00000;   5,00000;  10,00000;   0,00000;   0,00000; 307,74158;   4,15000;-9999,00000;-9999,00000;  32,60900;   4,24400;-9999,00000;  72,62500;  34,27500;   0,00000;1005,90000;   0,00000;  30,70500;   0,00000
2021-03-04 23:30:00; 0,00000;   5,10000;  10,00000;   0,00000;   1,00000; 312,49298;   3,95000;-9999,00000;-9999,00000;  32,66850;   4,24300;-9999,00000;  74,42500;  34,27500;   0,00000;1005,85000;   0,00000;  30,70500;   0,00000
2021-03-05 00:50:00; 0,00000;   4,80000;  10,00000;   0,00000;   0,00000; 333,07928;   4,00000;-9999,00000;-9999,00000;  32,66850;   4,24250;-9999,00000;  75,22000;  34,27500;   0,00000;1005,55000;   0,00000;  30,70500;   0,00000
2021-03-05 00:20:00; 0,00000;   4,90000;  10,00000;   0,00000;   0,00000; 329,91193;   4,25000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  72,88500;  34,27500;   0,00000;1005,80000;   0,00000;  30,70500;   0,00000
