DATE; Levegő-hőmérséklet; Belső akkufeszültség; Külső akkufeszültség; Levegő-páratartalom; Napelem töltőfeszültség; Légnyomás; Szélirány; Talajhőmérséklet 0 cm; Csapadék; Levélnedvesség; Talajnedvesség 30 cm; Talajnedvesség 120 cm; Szélsebesség; Talajnedvesség 90 cm; Fényegység; Fagy; Széllökés; Talajnedvesség 60 cm; Besugárzás
2021-04-28 21:00:00; 11,33846;   4,24708;  12,94592;  92,49846;   0,00000; 996,56910; 116,83281;  12,85385;   0,00000;   3,07692;  17,65161;-9999,00000;   0,23077;  20,79138; 614,84610;-9999,00000;   0,84615;  16,19615;   0,00000
2021-04-28 20:00:00; 11,60909;   4,24673;  12,97318;  90,39273;   0,00000; 996,65454; 116,83281;  13,02727;   0,00000;   3,18182;  17,67990;-9999,00000;   0,00000;  20,80636; 354,09090;-9999,00000;   0,00000;  16,30600;   0,00000
2021-04-28 19:00:00; 11,96154;   4,24654;  12,98954;  86,92231;   0,00000; 996,63080; 116,83281;  13,24615;   0,00000;   0,00000;  17,69738;-9999,00000;   0,00000;  20,74562;   0,00000;-9999,00000;   1,00000;  16,30600;   0,00000
2021-04-28 18:00:00; 12,34167;   4,24767;  13,02200;  84,44500;   0,64258; 996,55830; 116,83281;  13,48333;   0,00000;   0,00000;  17,68441;-9999,00000;   0,00000;  20,81808;   0,50000;-9999,00000;   0,08333;  16,30600;   0,00000
2021-04-28 17:00:00; 12,88333;   4,24917;  13,15642;  81,65917;  14,20392; 996,15826; 116,83281;  13,75000;   0,00000;   0,00000;  17,68441;-9999,00000;   0,16667;  20,82800; 704,66670;-9999,00000;   1,50000;  16,30600;  21,66667
2021-04-28 16:00:00; 13,26667;   4,24850;  13,37675;  80,53667;  18,08408; 996,11670; 116,83281;  13,80000;   0,00000;   0,00000;  17,69433;-9999,00000;   1,00000;  20,82800; 375,25000;-9999,00000;   3,66667;  16,30600;  86,25000
2021-04-28 15:00:00; 13,28333;   4,24908;  13,36650;  80,29000;  19,53000; 996,39166; 123,49242;  13,77500;   0,00000;   0,00000;  17,73400;-9999,00000;   1,33333;  20,82800; 289,00000;-9999,00000;   4,41667;  16,30600; 137,08333
2021-04-28 14:00:00; 12,89167;   4,24908;  13,39108;  79,01500;  19,87633; 996,71660; 134,86287;  13,60833;   0,00000;   0,00000;  17,73400;-9999,00000;   1,66667;  20,82800; 355,66666;-9999,00000;   5,58333;  16,30600; 165,41667
2021-04-28 13:00:00; 12,51667;   4,24908;  13,38667;  74,21500;  19,65508; 997,00006;  97,62447;  13,59167;   0,00000;   0,00000;  17,73400;-9999,00000;   2,66667;  20,82800; 599,08330;-9999,00000;   7,41667;  16,30600; 132,50000
2021-04-28 12:00:00; 12,76667;   4,24983;  13,55942;  70,21250;  19,79908; 997,45000;  99,08124;  13,26667;   0,00000;   0,00000;  17,73400;-9999,00000;   2,91667;  20,82800; 821,83330;-9999,00000;   8,50000;  16,30600; 257,91666
2021-04-28 11:00:00; 12,44545;   4,24955;  13,48309;  66,73727;  20,45700; 997,81820;  94,96547;  12,88182;   0,00000;   0,00000;  17,73400;-9999,00000;   3,27273;  20,82800; 662,63635;-9999,00000;   8,72727;  16,30600; 237,27272
2021-04-28 10:00:00; 11,86154;   4,24839;  13,65023;  61,06076;  20,25377; 998,00000;  96,98986;  12,22308;   0,00000;   0,00000;  17,73400;-9999,00000;   2,84615;  20,82800; 977,15390;-9999,00000;   8,30769;  16,37007; 300,38460
2021-04-28 09:00:00; 10,75000;   4,24809;  13,45345;  59,51333;  20,18909; 998,22504;  99,44563;  11,99091;   0,00000;   0,00000;  17,77727;-9999,00000;   3,54545;  20,82800; 399,72726;-9999,00000;   8,45454;  16,42500; 165,90909
2021-04-28 08:00:00; 10,21667;   4,24739;  13,44385;  56,58667;  19,97477; 998,10834;  77,77085;  11,75385;   0,00000;   0,00000;  17,83469;-9999,00000;   2,07692;  20,82800; 850,23080;-9999,00000;   6,53846;  16,42500; 150,38461
