DATE; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Talajnedvesség 120 cm; Légnyomás; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség; Belső akkufeszültség; Besugárzás; Szélsebesség; Széllökés; Fényegység; Levegő-páratartalom; Levegő-hőmérséklet; Fagy; Külsõ akkufeszültség; Csapadék; Napelem töltőfeszültség; Talajnedvesség 90 cm
2021-03-17 00:00:00; 33,07908;  29,32162;-9999,00000; 997,41520;   5,10071; 306,02676;   0,22648;   4,24538; 113,33334;   5,81786;  14,23214;2013,23270;  69,76862;   5,05513;-9999,00000;-9999,00000;   0,00000;   9,71185;  32,20828
2021-01-08 00:00:00; 33,20365;  28,37999;-9999,00000;1000,77234;   2,51815;  63,39997;   0,50877;   4,23038;  24,60854;   4,78136;   8,48746;1713,97910;  88,56883;   0,61779;-9999,00000;  12,74926;   0,00000;   6,08856;  32,21517
2021-02-20 00:00:00; 33,62687;  29,12223;-9999,00000;1011,59100;   1,73617;  86,08375;   1,84669;   4,23123;  29,46808;   1,66429;   5,38214;1756,91660;  93,02696;   3,52731;-9999,00000;  12,87378;   0,00000;   7,19464;  32,82339
2021-03-19 00:00:00; 33,70196;  29,10445;-9999,00000;1001,35270;   4,98440;  36,38413;   2,16783;   4,24662; 110,93971;   0,73571;   3,47143;2032,79860;  76,48223;   2,14220;-9999,00000;-9999,00000;   0,00455;   9,64667;  30,55815
2021-03-13 00:00:00; 32,65799;  28,71842;-9999,00000; 998,17200;   6,36726; 198,60904;   1,21528;   4,24767; 157,03180;   2,34164;   7,89324;1997,92710;  79,07311;   8,48204;-9999,00000;-9999,00000;   0,00151;   9,94959;  34,89632
2021-03-15 00:00:00; 34,33639;  30,07004;-9999,00000; 989,90546;   6,09187;  71,21416;   1,46341;   4,24469;  98,71025;   6,40143;  15,75269;1929,77780;  70,03228;   6,27562;-9999,00000;-9999,00000;   0,02344;   9,16096;  35,56253
2021-03-18 00:00:00; 33,24228;  28,99055;-9999,00000;1000,68940;   5,16607; 337,48938;   1,78947;   4,23888;  79,92883;   1,42086;   5,14748;2051,55740;  76,97587;   3,18821;-9999,00000;-9999,00000;   0,00076;   9,42125;  30,64295
2021-02-15 00:00:00; 32,81820;  28,98060;-9999,00000;1019,75146;  -0,30783; 314,14566;   0,00000;   4,24286; 117,22420;   0,66187;   4,77338;1871,54160;  64,60473;  -2,07509;-9999,00000;  13,16970;   0,00000;   9,14481;  32,06175
2021-02-14 00:00:00; 33,56605;  29,21454;-9999,00000;1020,43080;  -0,25750; 357,62510;   0,00000;   4,24794; 100,16014;   2,17266;   8,86331;1801,78470;  71,97565;  -2,98286;-9999,00000;  13,17178;   0,00000;   9,00850;  32,41661
2021-02-13 00:00:00; 33,83762;  29,49803;-9999,00000;1018,85560;  -0,02286; 348,58633;   0,00000;   4,24892; 110,89606;   0,51079;   3,67266;1864,03120;  66,49209;  -6,43286;-9999,00000;  13,20727;   0,00000;   9,22229;  33,06072
2021-01-16 00:00:00; 31,23412;  27,90032;-9999,00000;1005,27410;   0,04357;   4,48625;   1,60211;   4,24227;  50,28470;   1,37410;   4,46763;1698,46880;  83,79700;  -3,99537;-9999,00000;  12,98090;   0,00000;   7,49929;  31,22385
2021-01-15 00:00:00; 32,08516;  28,02041;-9999,00000;1002,46630;   0,34306; 332,59740;   0,71930;   4,24378;  40,60714;   2,65827;   6,61151;1676,51390;  80,87091;  -1,72179;-9999,00000;  12,91090;   0,00000;   6,91288;  31,53977
2021-02-18 00:00:00; 33,59985;  28,89292;-9999,00000;1006,38043;  -0,36277; 305,32730;   0,66202;   4,24549; 112,87234;   0,69643;   3,67857;1751,97220;  73,94447;   5,02968;-9999,00000;  13,04218;   0,00000;   8,99238;  32,16124
2021-02-17 00:00:00; 32,79688;  28,76937;-9999,00000;1004,49810;  -0,40000; 236,15775;   1,43860;   4,23965;  37,94326;   0,12903;   1,96057;1773,62160;  80,20320;   1,34645;-9999,00000;  12,98357;   0,00076;   7,65039;  31,73894
2021-02-16 00:00:00; 32,37909;  28,83969;-9999,00000;1012,31950;  -0,39786; 178,97057;   0,00000;   4,24069;  41,69643;   0,05396;   1,24101;1757,58340;  71,85418;  -1,84698;-9999,00000;  13,01449;   0,00000;   7,54937;  31,83841
2021-01-03 00:00:00; 33,56344;  29,18652;-9999,00000; 998,16590;   3,76962; 155,92221;   1,58537;   4,24032;  39,89399;   4,32029;   9,16014;1793,70840;  89,75755;   5,41347;-9999,00000;  12,80975;   0,00000;   6,51971;  35,19552
2021-01-02 00:00:00; 34,10361;  29,46144;-9999,00000;1000,55870;   3,21099; 149,96706;   1,25436;   4,23903;  56,59575;   5,95699;  11,48029;1586,03820;  84,88500;   4,38021;-9999,00000;  12,87049;   0,00000;   7,18772;  36,17399
2021-01-20 00:00:00; 32,92302;  28,26386;-9999,00000;1003,02060;   0,25638; 250,84428;   0,08711;   4,24412;  55,74468;   2,02143;   6,63571;1858,07640;  82,49607;   3,83192;-9999,00000;  12,93138;   0,00000;   7,30957;  31,55188
