DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Talajnedvesség 90 cm; Szélirány; Csapadék; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 30 cm; Belső akkufeszültség; Besugárzás; Légnyomás; Levegő-páratartalom; Talajnedvesség 60 cm; Külső akkufeszültség; Fagy; Levélnedvesség; Fényegység; Széllökés
2021-02-18 00:00:00; 8,79940;   3,45760;   2,69149;  23,22744;  34,70730;   0,00083;   1,52347;-9999,00000;  30,79789;   4,20487;  88,79433;1012,48310;  92,26373;-9999,00000;  13,02928;-9999,00000;   3,11189;1797,89590;   3,61733
2021-02-19 00:00:00; 8,24852;   5,00422;   3,56890;  23,20801; 173,29768;   0,00499;   4,74729;-9999,00000;  30,71642;   4,20528;  48,10954;1015,40890;  87,30033;-9999,00000;  13,00636;-9999,00000;   2,25524;1770,01730;  10,30325
2021-02-28 00:00:00; 9,90880;   5,39046;   5,93192;  23,08898; 335,15985;   0,00000;   3,14748;-9999,00000;  29,72427;   4,20735; 136,27208;1023,79160;  70,62524;-9999,00000;-9999,00000;-9999,00000;   0,99650;1868,80210;   6,62950
2021-02-17 00:00:00; 8,03195;   1,57199;   1,92740;  23,32703; 215,08768;   0,00251;   4,43682;-9999,00000;  30,86898;   4,20293;  38,22064;1010,73883;  80,28607;-9999,00000;  12,95252;-9999,00000;   0,92982;1725,09720;   9,19495
2021-02-16 00:00:00; 9,04061;  -1,27660;   1,79680;  23,34224; 205,54573;   0,00000;   2,33333;-9999,00000;  31,03832;   4,20792;  89,25267;1019,79047;  77,03895;-9999,00000;  13,17643;-9999,00000;   2,07746;1792,60070;   5,17029
2021-03-07 00:00:00; 10,25664;   2,31873;   4,22057;  22,85105; 217,71239;   0,00000;   3,28520;-9999,00000;  28,49462;   4,20759; 156,54256;1016,58636;  54,98955;-9999,00000;-9999,00000;-9999,00000;   0,00000;1980,35770;   7,57762
2021-03-05 00:00:00; 9,11922;   5,79930;   6,09149;  22,92788; 192,17078;   0,00416;   6,93525;-9999,00000;  28,81868;   4,20524;  82,34982;1006,67773;  77,34585;-9999,00000;-9999,00000;-9999,00000;   0,73427;1916,17020;  13,96403
2021-03-04 00:00:00; 9,32786;   6,57880;   5,95195;  22,97006; 202,02670;   0,00000;   2,92419;-9999,00000;  29,00244;   4,20630;  81,39576;1010,11816;  74,08958;-9999,00000;-9999,00000;-9999,00000;   0,08741;1887,38540;   6,74007
2021-03-03 00:00:00; 9,78612;   6,77711;   5,70745;  22,97006; 259,42914;   0,00000;   2,08633;-9999,00000;  29,13525;   4,20733; 145,69148;1021,47955;  70,09511;-9999,00000;-9999,00000;-9999,00000;   1,75958;1897,05550;   4,91727
2021-03-02 00:00:00; 10,01873;   4,55053;   5,50212;  22,98894; 352,76913;   0,00000;   2,02878;-9999,00000;  29,34757;   4,20164; 142,82686;1025,74170;  78,68644;-9999,00000;-9999,00000;-9999,00000;   2,12281;1959,64590;   4,83813
2021-03-01 00:00:00; 9,90944;   4,69085;   5,60745;  23,05646;  14,86023;   0,00000;   5,10108;-9999,00000;  29,53058;   4,20743; 138,93617;1022,70860;  74,89234;-9999,00000;-9999,00000;-9999,00000;   0,41958;1844,48610;  10,07581
