DATE; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Levegő-hőmérséklet; Levegő-páratartalom; Szélirány; Csapadék; Besugárzás; Talajhőmérséklet 0 cm; Szélsebesség; Széllökés; Talajnedvesség 30 cm
2021-04-08 00:00:00; 9,93885;  15,47144;   3,64737;  69,13364; 256,96770;   0,00000;  99,96495;   7,29432;   1,18863;   1,82678;   5,74403
2021-01-19 00:00:00; 11,14990;  16,57936;   1,05814;  80,69186; 158,77730;   0,00151;  41,65422;   0,92132;   1,07173;   1,49483;  10,57448
2021-01-18 00:00:00; 11,21321;  16,63364;  -5,39675;  87,76675; 206,58861;   0,00000;  22,61884;   0,39094;   0,72382;   1,04418;  10,38959
2021-01-26 00:00:00; 11,57382;  16,34679;   1,68772;  79,83640; 314,34310;   0,00000;  53,84160;   3,19876;   1,48726;   2,07403;  13,37836
2021-01-25 00:00:00; 11,08857;  16,36246;   2,28442;  92,17693; 249,22934;   0,01510;  57,18335;   3,87635;   1,71524;   2,27504;  14,56706
2021-01-27 00:00:00; 11,77023;  16,36443;   1,38926;  81,77640; 296,65378;   0,00000;  43,69769;   2,71428;   1,26865;   1,85966;  12,60189
2021-04-04 00:00:00; 10,27452;  15,65486;   6,72285;  61,65226; 315,79648;   0,00000;  87,00294;   9,15519;   1,46352;   2,04852;   6,48973
2021-04-03 00:00:00; 10,36954;  15,67540;   9,88372;  64,84702; 295,13535;   0,00151;  96,30165;  10,89416;   1,60703;   2,30704;   6,79884
2021-04-05 00:00:00; 10,17707;  15,61149;   6,98030;  56,71903; 125,41198;   0,00000; 148,97150;   8,77765;   1,48387;   2,01624;   6,26493
2021-01-04 00:00:00; 12,53942;  17,85733;   4,83147;  99,12942; 357,58044;   0,00152;  32,32415;   5,43587;   0,97681;   1,35705;  12,05419
2021-01-05 00:00:00; 12,35640;  17,79018;   4,39686;  97,29411; 211,08253;   0,00151;  14,32319;   5,69240;   1,26165;   1,80782;  11,85634
2021-02-06 00:00:00; 12,51568;  17,89664;   7,94771;  94,22082;  22,47387;   0,00000;  19,20140;   6,80311;   0,51946;   0,83842;  12,58426
2021-02-26 00:00:00; 11,36157;  16,92806;  10,75866;  75,11347;  55,51231;   0,00000;  87,24345;   7,32566;   0,54495;   0,84781;  10,15047
2021-02-14 00:00:00; 12,53812;  18,35867;  -2,89034;  78,59782; 318,16922;   0,00000;  76,63313;   0,13529;   1,37711;   1,88463;  11,59514
2021-02-07 00:00:00; 12,38311;  17,87365;   7,32438;  97,12882;  45,62132;   0,00604;  27,05064;   6,76382;   0,95659;   1,40898;  12,27839
2021-02-20 00:00:00; 11,67176;  17,32060;   5,21672;  94,39666;  35,45628;   0,00000;  52,19363;   4,46223;   0,93498;   1,40708;  11,39285
2021-01-17 00:00:00; 11,25067;  16,68714;  -3,44930;  93,22412; 281,32452;   0,00302;  18,04855;   0,77867;   0,94282;   1,36760;  10,62878
2021-03-02 00:00:00; 11,07752;  16,67283;   5,45314;  74,81033; 332,08650;   0,00000;  94,76543;   5,44937;   0,50797;   0,87531;   9,19638
2021-03-01 00:00:00; 11,15429;  16,74902;   5,37877;  73,33133; 348,87192;   0,00000;  90,97541;   5,37504;   0,77762;   1,26742;   9,39915
2021-02-28 00:00:00; 11,23356;  16,81678;   5,30390;  76,20241; 312,55716;   0,00000;  67,19579;   6,17726;   0,77357;   1,18712;   9,62458
2021-02-27 00:00:00; 11,30753;  16,87620;   7,49580;  75,69894; 323,28906;   0,00000;  69,19618;   6,74329;   2,10925;   2,75293;   9,88481
2021-01-22 00:00:00; 11,10021;  16,45522;   8,45613;  81,81064; 109,68720;   0,00000;  22,57866;   4,72214;   1,82230;   2,46799;  10,66256
2021-01-21 00:00:00; 11,10027;  16,49317;   7,33385;  78,51032; 125,70607;   0,00000;  50,39954;   3,70169;   1,75963;   2,37911;  10,74004
2021-04-30 00:00:00; 10,07036;  14,75071;  18,38971;  75,47983; 134,27678;   0,00000; 135,88568;  14,88025;   1,00619;   1,50216;   8,82853
2021-04-29 00:00:00; 10,06330;  14,76204;  14,86633;  88,56556; 125,11217;   0,00302; 130,51413;  13,18121;   1,26524;   1,80781;   9,16516
2021-03-04 00:00:00; 10,96111;  16,53357;   6,98063;  66,61914;  79,44353;   0,00000;  79,02805;   6,12906;   0,58781;   0,95959;   8,79176
2021-03-03 00:00:00; 11,01760;  16,60017;   6,75380;  66,47717;  91,90138;   0,00000;  97,27698;   5,84675;   0,71339;   1,09901;   8,99892
2021-01-12 00:00:00; 11,48828;  17,05757;  -0,20442;  94,76382; 234,69734;   0,01359;  32,59723;   3,07530;   0,53771;   0,83385;  10,91870
2021-01-11 00:00:00; 11,57633;  17,15267;  -0,65998;  96,44228; 319,34863;   0,00453;  17,58727;   2,72031;   1,10745;   1,55226;  10,77476
2021-01-10 00:00:00; 11,68562;  17,25687;  -1,27263;  99,07687; 326,84027;   0,00000;  11,16526;   2,62395;   1,42853;   1,86730;  10,84857
2021-01-09 00:00:00; 11,80390;  17,36199;   0,94102;  89,86626; 332,83783;   0,00000;  37,66706;   3,51411;   0,46075;   0,75275;  11,01739
2021-01-08 00:00:00; 11,92413;  17,47305;   1,77121;  92,34254; 352,24683;   0,00000;  16,55362;   4,01006;   0,87182;   1,29299;  11,21344
2021-01-07 00:00:00; 12,06124;  17,58555;   2,40735;  92,93993; 348,29733;   0,00151;  44,31446;   4,73109;   0,43066;   0,77001;  11,41646
2021-01-15 00:00:00; 11,33678;  16,81424;  -0,64676;  80,79733; 276,53497;   0,00000;  31,08555;   1,64675;   1,16681;   1,65648;  10,91716
2021-01-14 00:00:00; 11,36472;  16,88860;   0,80038;  81,86998; 272,92203;   0,00000;  39,69168;   2,23467;   1,76050;   2,42085;  11,04539
2021-02-13 00:00:00; 12,84697;  18,57715;  -6,01399;  71,71770; 313,32712;   0,00000;  78,58653;   0,36177;   0,80455;   1,21784;  12,08211
2021-02-12 00:00:00; 13,17307;  18,60383;  -5,35600;  66,29858; 310,35074;   0,00000;  57,63757;   1,10051;   1,95745;   2,76097;  12,96574
2021-01-13 00:00:00; 11,41321;  16,97182;   1,36706;  82,32311; 238,00365;   0,00000;  52,22493;   2,58319;   1,36592;   1,91846;  11,07080
2021-01-06 00:00:00; 12,19962;  17,69100;   5,18531;  95,48177; 103,58788;   0,00453;  39,11827;   5,59744;   1,25406;   1,79917;  11,64089
2021-01-03 00:00:00; 12,73792;  17,72144;   6,21099;  93,52284;  79,79991;   0,00000;  35,07118;   5,61930;   1,43117;   1,88622;  12,44436
2021-01-02 00:00:00; 12,93722;  16,82776;   4,77463;  90,67947;  68,40069;   0,00000;  42,52013;   4,92962;   1,78377;   2,24539;  13,01495
2021-01-16 00:00:00; 11,30032;  16,75129;  -2,23302;  81,46630; 305,69168;   0,00000;  38,35712;   0,95257;   1,12702;   1,63575;  10,73685
2021-01-24 00:00:00; 11,08155;  16,41435;   5,32694;  88,44610; 348,44623;   0,05284;  31,97872;   5,04299;   2,04530;   2,71269;  10,92968
2021-01-23 00:00:00; 11,10778;  16,43770;   8,93105;  83,49440;  96,09556;   0,00000;  29,00275;   5,71980;   2,57879;   3,33979;  10,55545
2021-02-19 00:00:00; 11,70259;  17,42699;   6,39061;  82,63274;  94,61878;   0,00000;  43,04301;   3,27143;   0,90700;   1,28702;  11,48345
