DATE; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Szélirány; Talajhőmérséklet 0 cm; Levegő-hőmérséklet; Szélsebesség; Fagy; Fényegység; Talajnedvesség 90 cm; Levegő-páratartalom; Külső akkufeszültség; Légnyomás; Levélnedvesség; Besugárzás; Napelem töltőfeszültség; Belső akkufeszültség; Csapadék
2021-04-29 14:00:00; 24,87401;  28,92993;  21,18644; 191,42346;  17,07333;  21,62712;  15,71186;-9999,00000;3895,00000;  25,34998;  50,18594;  13,43793;1000,51520;   0,00000; 244,83333;  19,65928;   4,23842;   0,00000
2021-04-29 13:00:00; 24,87401;  28,89660;  21,05085; 182,19860;  16,78334;  21,18833;  15,20339;-9999,00000;3895,00000;  25,34998;  53,55016;  13,43152;1001,07320;   0,00000; 345,16666;  20,29695;   4,23700;   0,00000
2021-04-29 12:00:00; 24,87401;  28,82320;  22,06897; 180,08435;  16,26500;  20,88474;  16,25862;-9999,00000;3895,00000;  25,34998;  55,26627;  13,37590;1001,46770;   0,00000; 531,33330;  20,66928;   4,09319;   0,00000
2021-04-29 11:00:00; 24,87401;  28,77760;  22,50000; 179,78407;  15,39166;  19,53167;  16,87931;-9999,00000;3895,00000;  25,34998;  60,76084;  13,48305;1002,05510;   0,00000; 724,50000;  21,07435;   4,23737;   0,00000
2021-04-29 09:00:00; 24,87401;  28,68597;  20,84746; 178,66852;  13,75085;  16,27627;  15,22034;-9999,00000;3895,00000;  25,34998;  67,03321;  13,55100;1002,84216;   0,00000; 560,75000;  21,12388;   4,23777;   0,00000
2021-04-29 10:00:00; 24,87401;  28,70779;  21,10345; 172,27068;  14,53167;  17,69166;  15,55172;-9999,00000;3895,00000;  25,34998;  65,67667;  13,51485;1002,28345;   0,00000; 600,25000;  21,21540;   4,23817;   0,00000
2021-04-29 08:00:00; 24,87401;  28,68201;  23,48276; 180,70946;  12,92500;  14,86102;  17,46552;-9999,00000;3895,00000;  25,34998;  68,83983;  13,57687;1003,06940;   0,00000; 514,50000;  21,12842;   4,23708;   0,00000
2021-04-29 07:00:00; 24,87401;  28,67010;  27,32759; 186,01580;  12,24167;  13,59500;  20,24138;-9999,00000;3895,00000;  25,34998;  70,83183;  13,60848;1003,30160;   0,00000; 443,58334;  21,19787;   4,23753;   0,00000
2021-04-29 03:00:00; 24,98309;  28,68201;  20,93103; 181,68735;  11,16500;   9,86779;  15,03448;-9999,00000;2189,90000;  25,34998;  80,08527;  12,94487;1003,14594;   0,00000;   1,35593;   9,79847;   4,23260;   0,00000
2021-04-29 04:00:00; 24,97283;  28,67595;  19,64912; 180,83228;  11,10000;   9,90345;  14,26316;-9999,00000;3895,00000;  25,34998;  80,20879;  12,98166;1003,39110;   0,00000;  36,33333;  16,83097;   4,23353;   0,00000
2021-04-29 05:00:00; 24,90376;  28,65423;  21,79661; 178,11690;  11,11334;  10,30833;  16,62712;-9999,00000;3895,00000;  25,34803;  78,96666;  13,28856;1003,38960;   0,00000; 120,41666;  17,86693;   4,22241;   0,00000
2021-04-29 06:00:00; 24,87401;  28,64630;  26,81035; 182,64370;  11,57000;  12,17241;  20,10345;-9999,00000;3895,00000;  25,34998;  76,26206;  13,62280;1003,31885;   0,00000; 391,44067;  20,71320;   4,23943;   0,00000
2021-04-28 22:00:00; 24,99300;  28,78931;  15,63158; 176,62958;  12,12881;  10,38500;  11,43860;-9999,00000;  41,11666;  25,34998;  79,67150;  13,00220;1003,10175;   0,00000;   0,00000;   0,00000;   4,23408;   0,00000
2021-04-28 23:00:00; 24,99300;  28,75260;  15,91379; 175,51663;  11,85499;   9,83051;  11,62069;-9999,00000;  37,60000;  25,34998;  81,60136;  12,98188;1002,89330;   0,00000;   0,00000;   0,00000;   4,23397;   0,00000
2021-04-29 00:00:00; 24,99099;  28,68994;  18,00000; 176,07960;  11,62034;   9,59138;  13,50000;-9999,00000;   1,25000;  25,34998;  82,40860;  12,96572;1002,77783;   0,00000;   0,00000;   0,00000;   4,23392;   0,00000
2021-04-29 01:00:00; 24,99300;  28,68399;  17,68965; 174,69626;  11,36833;   9,32833;  13,18966;-9999,00000; 649,16670;  25,34998;  84,55733;  12,95578;1002,80350;   0,00000;   0,00000;   0,00000;   4,23390;   0,00000
2021-04-29 02:00:00; 24,98695;  28,68201;  16,67241; 173,10107;  11,28644;   9,70678;  12,34483;-9999,00000;  66,85000;  25,34998;  81,69424;  12,94952;1002,68110;   0,00000;   0,00000;   0,06058;   4,23372;   0,00000
2021-04-28 20:00:00; 24,99300;  28,81887;  12,30509; 177,14037;  12,65833;  12,54167;   8,81356;-9999,00000;1467,66660;  25,34998;  81,61099;  13,06875;1002,43650;   0,00000;   0,00000;   0,00000;   4,23425;   0,00000
2021-04-28 19:00:00; 24,99300;  28,89026;   3,38596;  87,19882;  12,84406;  12,64237;   2,33333;-9999,00000;1102,80000;  25,34998;  83,35883;  13,10643;1002,06635;   0,00000;   0,00000;   0,00000;   4,23565;   0,00403
2021-04-28 21:00:00; 24,99300;  28,80102;  17,05172; 187,78325;  12,43666;  11,21207;  12,55172;-9999,00000; 394,80000;  25,34998;  78,29550;  13,03125;1002,78780;   0,00000;   0,00000;   0,00000;   4,23467;   0,00000
2021-04-28 18:00:00; 24,99697;  28,89819;   3,33898;  85,63838;  13,13220;  13,62373;   2,30508;-9999,00000; 247,28334;  25,34998;  73,27441;  13,14949;1001,80650;   0,00000;   0,00000;   0,32188;   4,23515;   0,00000
