DATE; Széllökés; Fényegység; Napelem töltőfeszültség; Szélirány; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Levegő-hőmérséklet; Besugárzás; Talajnedvesség 90 cm; Levélnedvesség; Légnyomás; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Fagy; Csapadék; Külső akkufeszültség; Talajhőmérséklet 0 cm
2021-03-27 14:00:00; 8,83333;3895,00000;  19,62775; 275,01218;-9999,00000;  28,08700;  30,58600;  19,23333; 317,08334;  28,97950;   0,00000;1005,22490;   4,25658;   2,25000;  40,39334;-9999,00000;   0,00000;-9999,00000;   9,10833
2021-03-27 13:00:00; 13,63636;3895,00000;  20,22067; 253,23602;-9999,00000;  28,08700;  30,63558;  18,93333; 296,66666;  29,07866;   0,00000;1005,63330;   4,25583;   3,45455;  39,70334;-9999,00000;   0,00000;-9999,00000;   8,87500
2021-03-27 12:00:00; 13,33333;3895,00000;  20,84675; 241,45255;-9999,00000;  28,08700;  30,70499;  19,15000; 479,16666;  28,94975;   0,00000;1005,94995;   4,25458;   3,58333;  38,87667;-9999,00000;   0,00000;-9999,00000;   8,39167
2021-03-27 11:00:00; 12,75000;3895,00000;  20,83225; 243,60474;-9999,00000;  28,08700;  30,76450;  18,20000; 461,36365;  28,92000;   0,00000;1006,50830;   4,25608;   3,50000;  39,57167;-9999,00000;   0,00000;-9999,00000;   7,78333
2021-03-27 10:00:00; 13,66667;3895,00000;  21,01208; 193,78809;-9999,00000;  28,08700;  30,82400;  17,55833; 588,33330;  28,82083;   0,00000;1006,87500;   4,25383;   4,25000;  39,53167;-9999,00000;   0,00000;-9999,00000;   6,95000
2021-03-27 09:00:00; 15,91667;3895,00000;  21,11000; 199,07645;-9999,00000;  28,07708;  30,88350;  16,25455; 587,08330;  28,82083;   0,00000;1007,35450;   4,25625;   5,50000;  41,47182;-9999,00000;   0,00000;-9999,00000;   6,05833
2021-03-27 08:00:00; 14,54546;3895,00000;  21,21075; 189,04320;-9999,00000;  28,08700;  30,94299;  13,99167; 488,33334;  28,68200;   0,00000;1007,83330;   4,25717;   4,90909;  45,54250;-9999,00000;   0,00000;-9999,00000;   5,32500
2021-03-27 06:00:00; 1,83333;3895,00000;  21,30558; 201,18231;-9999,00000;  28,08700;  30,94299;   7,31667; 214,16667;  28,19608;   0,00000;1008,24176;   4,25983;   0,00000;  62,63250;-9999,00000;   0,00000;-9999,00000;   4,61667
2021-03-27 07:00:00; 8,33333;3895,00000;  21,45033; 200,01962;-9999,00000;  28,08699;  30,94299;  11,10000; 365,00000;  28,47645;   0,00000;1008,14166;   4,25583;   1,91667;  50,99083;-9999,00000;   0,00000;-9999,00000;   4,85455
2021-03-27 05:00:00; 0,36364;3895,00000;  17,67983; 180,52771;-9999,00000;  28,08700;  30,93308;   1,70833;  60,90909;  27,94816;   0,00000;1008,25830;   4,24042;   0,00000;  75,88583;-9999,00000;   0,00000;-9999,00000;   4,73333
